community,member,avg_hc,avg_oc,sum_ct,sum_prt,avg_ct,avg_prt,avg_occurrence,avg_intensity,top_tu
5243,1977,1.0403409811415665,0.43642451543474736,119669,16806,10.613658536585376,1.4905543237250607,12.015343680709504,0.00022852427240335055,"['-C1 -O1', '-C1', 'H2 O1', '-C2 -H2', '-C1 -H2']"
28,1164,1.3818643202252,0.42914242228292077,56325,7737,9.821272885789014,1.3490845684394077,11.265039232781188,0.00015865985941933644,"['H2 O1', '-C1', '-C1 -O1', '-C1 -H2', 'O1']"
37,185,0.7982388842262373,0.44200406324211766,7299,951,10.151599443671765,1.322670375521559,11.549374130737121,0.0001068991713310484,"['-C1 -H2 O1', '-C1 -H2', '-C1', '-C1 -O1', 'O1']"
1266,57,0.7524360791266802,0.23074008246913502,1334,188,9.328671328671325,1.3146853146853155,11.531468531468521,0.00019023718765477852,"['-C1 -O1', '-C1 -O2', '-C1 -H2', '-C1', '-C2 -H2']"
2397,53,0.7378288100298791,0.2967529788481106,1567,248,8.90340909090909,1.4090909090909092,10.687499999999998,0.00011015896814822467,"['-C1 -H2', '-C1', '-C1 -O1', '-H2 O1', '-C2 -H2']"
