timepoint,cd_name,empty_slots,free_bikes,slots
3,Bay Ridge and Dyker Heights (CD10),24,63,93
3,Bedford Stuyvesant (CD3),973,315,1404
3,Belmont and East Tremont (CD6),9,22,35
3,Borough Park (CD12),32,160,202
3,Brownsville (CD16),311,78,403
3,Bushwick (CD4),841,336,1255
3,Central Harlem (CD10),521,472,1085
3,Clinton and Chelsea (CD4),1506,1022,2921
3,Crown Heights and Prospect Heights (CD8),853,259,1204
3,East Flatbush (CD17),40,528,591
3,East Harlem (CD11),472,594,1160
3,East New York and Starrett City (CD5),11,9,21
3,Elmhurst and Corona (CD4),148,435,600
3,Financial District (CD1),475,2149,2869
3,Flatbush and Midwood (CD14),65,361,461
3,Fordham and University Heights (CD5),568,232,860
3,Fort Greene and Brooklyn Heights (CD2),1205,1893,3365
3,Greenpoint and Williamsburg (CD1),1404,1784,3415
3,Greenwich Village and Soho (CD2),850,1974,3161
3,Highbridge and Concourse (CD4),573,616,1294
3,Hunts Point and Longwood (CD2),212,209,449
3,Jackson Heights (CD3),888,674,1632
3,Kingsbridge Heights and Bedford (CD7),479,360,930
3,Long Island City and Astoria (CD1),1431,1386,2984
3,Lower East Side and Chinatown (CD3),1831,1013,3096
3,Midtown (CD5),1478,2657,4692
3,Morningside Heights and Hamilton Heights (CD9),551,357,1005
3,Morrisania and Crotona (CD3),329,429,832
3,Mott Haven and Melrose (CD1),446,584,1115
3,Park Slope and Carroll Gardens (CD6),738,1145,2079
3,Ridgewood and Maspeth (CD5),755,558,1380
3,South Crown Heights and Lefferts Gardens (CD9),459,573,1074
3,Stuyvesant Town and Turtle Bay (CD6),1294,907,2483
3,Sunset Park (CD7),539,1040,1648
3,Upper East Side (CD8),1320,550,2063
3,Upper West Side (CD7),1401,161,1814
3,Washington Heights and Inwood (CD12),583,554,1236
3,Woodside and Sunnyside (CD2),935,1104,2154
4,Bay Ridge and Dyker Heights (CD10),25,62,93
4,Bedford Stuyvesant (CD3),983,308,1404
4,Belmont and East Tremont (CD6),8,23,35
4,Borough Park (CD12),32,160,202
4,Brownsville (CD16),319,70,403
4,Bushwick (CD4),840,338,1255
4,Central Harlem (CD10),527,462,1085
4,Clinton and Chelsea (CD4),1497,1026,2921
4,Crown Heights and Prospect Heights (CD8),865,246,1204
4,East Flatbush (CD17),38,530,591
4,East Harlem (CD11),477,586,1160
4,East New York and Starrett City (CD5),11,9,21
4,Elmhurst and Corona (CD4),150,432,600
4,Financial District (CD1),489,2130,2869
4,Flatbush and Midwood (CD14),61,366,461
4,Fordham and University Heights (CD5),571,229,860
4,Fort Greene and Brooklyn Heights (CD2),1190,1909,3365
4,Greenpoint and Williamsburg (CD1),1396,1800,3415
4,Greenwich Village and Soho (CD2),839,1976,3161
4,Highbridge and Concourse (CD4),574,616,1294
4,Hunts Point and Longwood (CD2),213,209,449
4,Jackson Heights (CD3),878,684,1632
4,Kingsbridge Heights and Bedford (CD7),481,358,930
4,Long Island City and Astoria (CD1),1439,1381,2984
4,Lower East Side and Chinatown (CD3),1775,1073,3096
