measurement_id,measurement_name,peak_id,cf_id,mono_cf_id,peak_mz,peak_mz_nominal,peak_charge,peak_mass_deconvoluted,peak_intensity,peak_relint_bp,peak_relint_tic,peak_resolution,peak_sn,formula_json,formula_mass,formula_mass_nominal,formula_error_relative,formula_score_primary,formula_score_secondary,formula_hc,formula_oc,formula_nc,formula_sc,formula_pc,formula_dbe,formula_dbe_o,peak_kmd_ch2,peak_kmd_co2,peak_kmd_h2,peak_kmd_nh2,formula_ai,formula_ai_mod,formula_ai_con,formula_xc,formula_nosc,formula_f_star,formula_z_x,formula_dbe_div_c,formula_dbe_div_h,formula_dbe_div_o,formula_feature,peak_kmd_div_zstar,peak_zstar,formula_string,formula_class,C,H,O,Na,S,N,occurrence_count,peak_intensity_rank,measurement_rank
25586,CBZ_dark_1,239260440,3931000,3931000,161.057296,161,1,160.0500195479,9879432,0.00194278556153286,0.00161317372468394,1059221.6,243.74,"[{""C"":8,""H"":9,""O"":2,""Na"":1}]",160.05002381,160,0.0266298,1,,1.125,0.25,0,0,0,4,2,0.12254275015124,0.905466412762991,0.1931973445962,0.130960992898054,0.416666666666667,0.5,0.5,2.42857142857143,-0.625,-1.5,-7 (Na1 O2),0.5,0.444444444444444,2,,-0.0175061071644629,-7,C8 H9 O2 Na1,CHNO,8,9,2,1,,,2,17,2
25586,CBZ_dark_1,239260445,3950000,3950000,161.093696,161,1,160.0864195479,341590.3,0.000067173568561399,0.0000557769410799027,1381058.4,6.54,"[{""C"":9,""H"":13,""O"":1,""Na"":1}]",160.08640932,160,-0.06388987,1,,1.444,0.111,0,0,0,3,2,0.086183394882454,0.869057996825262,0.157079964253171,0.0946035402070606,0.3125,0.352941176470588,0.352941176470588,2.33333333333333,-1.22222222222222,-1.5,-5 (Na1 O1),0.333333333333333,0.230769230769231,3,,-0.0123119135546363,-7,C9 H13 O1 Na1,CHNO,9,13,1,1,,,2,468,2
25586,CBZ_dark_1,239260625,4198000,4198000,163.072932,163,1,162.0656555479,1646893.5,0.000323860816409518,0.000268914783922069,1045714.2,39,"[{""C"":8,""H"":11,""O"":2,""Na"":1}]",162.06567387,162,0.11305355,1,,1.375,0.25,0,0,0,3,1,0.109157436509463,0.889364383447628,0.193211299399422,0.117681033770197,0.25,0.357142857142857,0.357142857142857,2.2,-0.875,-1.5,-5 (Na1 O2),0.375,0.272727272727273,1.5,,-0.0218314873018926,-5,C8 H11 O2 Na1,CHNO,8,11,2,1,,,2,102,2
25586,CBZ_dark_1,239260630,4227000,4227000,163.132903,163,1,162.1256265479,266815.5,0.0000524691400267922,0.0000435672570992349,885630.9,4.68,"[{""C"":8,""H"":18,""O"":3}]",162.12559444,162,-0.19804338,1,,2.25,0.375,0,0,0,0,-3,0.0492534009373742,0.829379517727801,0.133705930812795,0.0577801327995928,0,0,-0.230769230769231,0,-1.5,-5.5,2 (O3),0,0,0,,-0.00985068018747484,-5,C8 H18 O3,CHO,8,18,3,,,,2,478,2
25586,CBZ_dark_1,239260712,4337000,4337000,164.10457,164,1,163.0972935479,3319586.8,0.000652795151107379,0.000542042316052952,1016460.9,80.6,"[{""C"":8,""H"":14,""N"":1,""O"":1,""Na"":1}]",163.09730835,163,0.09075625,1,,1.75,0.125,0.125,0,0,2,1,0.0786713774220402,0.857487861437306,0.169583221862268,0.0872488969783092,0.0833333333333333,0.153846153846154,0.153846153846154,2,-1.125,-1,-2 (N1 Na1 O1),0.25,0.142857142857143,2,,-0.0196678443555101,-4,C8 H14 N1 O1 Na1,CHNO,8,14,1,1,,1,2,47,1
25586,CBZ_dark_1,239260804,4477000,4477000,165.069862,165,1,164.0625855479,1166652.5,0.000229421654233383,0.000190498113539,1025875.9,27.06,"[{""C"":13,""H"":8}]",164.06260026,164,0.0896737,1,,0.615,0,0,0,0,10,10,0.114457235495678,0.891972679091936,0.211786015650375,0.123085209533542,0.769230769230769,0.769230769230769,0.769230769230769,2.8,-0.615384615384615,8.5,-18 (),0.769230769230769,1.25,0,,-0.0381524118318926,-3,C13 H8,other,13,8,,,,,1,132,1
25586,CBZ_dark_1,239260805,4492000,4492000,165.08859,165,1,164.0813135479,8136452.5,0.00160002947933626,0.00132856943447143,961856,200.4,"[{""C"":8,""H"":13,""O"":2,""Na"":1}]",164.08132394,164,0.06333506,1,,1.625,0.25,0,0,0,2,0,0.0957501474331934,0.873240349045716,0.193203425016719,0.104379100357789,0.0833333333333333,0.214285714285714,0.214285714285714,1.66666666666667,-1.125,-1.5,-3 (Na1 O2),0.25,0.153846153846154,1,,-0.0319167158110645,-3,C8 H13 O2 Na1,CHNO,8,13,2,1,,,2,21,2
25586,CBZ_dark_1,239260881,4605000,4605000,166.065124,166,1,165.0578475479,251563.5,0.0000494698415464241,0.0000410768178058747,1746281.2,4.3,"[{""C"":12,""H"":7,""N"":1}]",165.05784922,165,0.01013039,1,,0.583,0,0.083,0,0,10,10,0.120306558475733,0.896480567470377,0.2242515047989,0.128986553485788,0.818181818181818,0.818181818181818,0.818181818181818,2.8,-0.333333333333333,9,-17 (N1),0.833333333333333,1.42857142857143,0,,-0.0601532792378663,-2,C12 H7 N1,CHN,12,7,,,,1,1,483,1
25586,CBZ_dark_1,239260891,4632000,4632000,166.120242,166,1,165.1129655479,244564.4,0.0000480934718903827,0.000039933962202796,1434970,4.13,"[{""C"":8,""H"":16,""N"":1,""O"":1,""Na"":1}]",165.11295841,165,-0.0432304,1,,2,0.125,0.125,0,0,1,0,0.0652501039783431,0.84134982379851,0.169561456179423,0.0739329799302482,0,0,0,1,-1.375,-1,0 (N1 Na1 O1),0.125,0.0625,1,,-0.0326250519891715,-2,C8 H16 N1 O1 Na1,CHNO,8,16,1,1,,1,2,485,1
25586,CBZ_dark_1,239260961,4773000,4773000,167.06787,167,1,166.0605935479,2184895.5,0.000429658651515403,0.000356763021576563,1026324.8,52.38,"[{""C"":7,""H"":11,""O"":3,""Na"":1}]",166.06058849,166,-0.03045816,1,,1.571,0.429,0,0,0,2,-1,0.118680238191217,0.893502725495011,0.229291101791148,0.127412645351768,0,0.181818181818182,0.181818181818182,0,-0.714285714285714,-1.5,-3 (Na1 O3),0.285714285714286,0.181818181818182,0.666666666666667,,-0.118680238191217,-1,C7 H11 O3 Na1,CHNO,7,11,3,1,,,2,82,2
