measurement_id,formula_string,formula_class,C,H,O,N,S
7937,C24 H29 N1 O9,CHNO,24,29,9,1,0
7937,C7 H6 O5,CHO,7,6,5,0,0
7937,C17 H16 O13,CHO,17,16,13,0,0
7937,C20 H12 O12,CHO,20,12,12,0,0
7937,C11 H12 O10,CHO,11,12,10,0,0
7937,C21 H34 O5,CHO,21,34,5,0,0
7937,C24 H18 O7 S1,CHOS,24,18,7,0,1
7937,C20 H15 N1 O8,CHNO,20,15,8,1,0
7937,C23 H18 O5 S1,CHOS,23,18,5,0,1
7937,C12 H12 O8,CHO,12,12,8,0,0
7937,C20 H28 O9,CHO,20,28,9,0,0
7937,C16 H19 N1 O8,CHNO,16,19,8,1,0
7937,C25 H40 O9,CHO,25,40,9,0,0
7937,C16 H19 N1 O9,CHNO,16,19,9,1,0
7937,C18 H32 O8,CHO,18,32,8,0,0
7937,C18 H28 O9,CHO,18,28,9,0,0
7937,C18 H22 O7 S1,CHOS,18,22,7,0,1
7937,C29 H42 O6,CHO,29,42,6,0,0
7937,C21 H10 O8,CHO,21,10,8,0,0
7937,C22 H16 O12,CHO,22,16,12,0,0
7937,C17 H22 O9 S1,CHOS,17,22,9,0,1
7937,C27 H28 O8,CHO,27,28,8,0,0
7937,C12 H15 N1 O8,CHNO,12,15,8,1,0
7937,C18 H22 O9 S1,CHOS,18,22,9,0,1
7937,C27 H40 O12,CHO,27,40,12,0,0
7937,C10 H10 O7,CHO,10,10,7,0,0
7937,C9 H8 O7,CHO,9,8,7,0,0
7937,C10 H10 O2,CHO,10,10,2,0,0
7937,C13 H19 N1 O4,CHNO,13,19,4,1,0
7937,C22 H22 O9,CHO,22,22,9,0,0
7937,C14 H12 O8,CHO,14,12,8,0,0
7937,C28 H34 O9,CHO,28,34,9,0,0
7937,C18 H21 N1 O8,CHNO,18,21,8,1,0
7937,C15 H6 O9,CHO,15,6,9,0,0
7937,C15 H15 N1 O6,CHNO,15,15,6,1,0
7937,C16 H18 N2 O5,CHNO,16,18,5,2,0
7937,C12 H11 N1 O3,CHNO,12,11,3,1,0
7937,C19 H27 N1 O8,CHNO,19,27,8,1,0
7937,C29 H22 O13,CHO,29,22,13,0,0
7937,C20 H30 O9 S1,CHOS,20,30,9,0,1
7937,C18 H14 O3,CHO,18,14,3,0,0
7937,C33 H42 O10,CHO,33,42,10,0,0
7937,C11 H13 N1 O8,CHNO,11,13,8,1,0
7937,C24 H38 O6,CHO,24,38,6,0,0
7937,C15 H16 O7,CHO,15,16,7,0,0
7937,C24 H26 O13,CHO,24,26,13,0,0
7937,C19 H13 N1 O8,CHNO,19,13,8,1,0
7937,C16 H12 O7,CHO,16,12,7,0,0
7937,C23 H22 O13,CHO,23,22,13,0,0
7937,C12 H12 N2 O5,CHNO,12,12,5,2,0
7937,C17 H18 N2 O9,CHNO,17,18,9,2,0
7937,C25 H30 O8,CHO,25,30,8,0,0
7937,C14 H12 O9,CHO,14,12,9,0,0
7937,C20 H32 O8,CHO,20,32,8,0,0
7937,C18 H18 O6,CHO,18,18,6,0,0
7937,C18 H28 O8,CHO,18,28,8,0,0
7937,C19 H18 O9,CHO,19,18,9,0,0
7937,C14 H15 N1 O7,CHNO,14,15,7,1,0
7937,C22 H26 O12,CHO,22,26,12,0,0
7937,C14 H16 O9,CHO,14,16,9,0,0
7937,C26 H28 O9,CHO,26,28,9,0,0
7937,C29 H32 O10,CHO,29,32,10,0,0
7937,C21 H23 N1 O12,CHNO,21,23,12,1,0
7937,C18 H26 O7,CHO,18,26,7,0,0
7937,C24 H16 O11,CHO,24,16,11,0,0
7937,C23 H34 O6,CHO,23,34,6,0,0
7937,C17 H20 O9,CHO,17,20,9,0,0
7937,C24 H24 O14,CHO,24,24,14,0,0
7937,C15 H11 N1 O4,CHNO,15,11,4,1,0
7937,C23 H34 O10,CHO,23,34,10,0,0
7937,C20 H27 N1 O5,CHNO,20,27,5,1,0
7937,C31 H44 O12,CHO,31,44,12,0,0
7937,C21 H24 O12,CHO,21,24,12,0,0
7937,C26 H20 O12,CHO,26,20,12,0,0
7937,C28 H22 O13,CHO,28,22,13,0,0
7937,C22 H18 O8,CHO,22,18,8,0,0
7937,C17 H8 O10,CHO,17,8,10,0,0
7937,C15 H20 O8 S1,CHOS,15,20,8,0,1
7937,C12 H16 O9,CHO,12,16,9,0,0
7937,C21 H14 O8 S1,CHOS,21,14,8,0,1
7937,C15 H20 N2 O7,CHNO,15,20,7,2,0
7937,C14 H17 N1 O7,CHNO,14,17,7,1,0
7937,C14 H19 N1 O6,CHNO,14,19,6,1,0
7937,C21 H16 O11,CHO,21,16,11,0,0
7937,C17 H20 O11,CHO,17,20,11,0,0
7937,C16 H31 N1 O5,CHNO,16,31,5,1,0
7937,C13 H21 N1 O5,CHNO,13,21,5,1,0
7937,C32 H48 O11,CHO,32,48,11,0,0
7937,C12 H11 N1 O6,CHNO,12,11,6,1,0
7937,C18 H24 O7,CHO,18,24,7,0,0
7937,C13 H10 O10,CHO,13,10,10,0,0
7937,C25 H38 O6,CHO,25,38,6,0,0
7937,C14 H20 O6 S1,CHOS,14,20,6,0,1
7937,C24 H22 O8,CHO,24,22,8,0,0
7937,C21 H24 O14,CHO,21,24,14,0,0
7937,C15 H6 O7,CHO,15,6,7,0,0
7937,C12 H10 N2 O4,CHNO,12,10,4,2,0
7937,C15 H24 O9,CHO,15,24,9,0,0
7937,C23 H24 O7,CHO,23,24,7,0,0
7937,C15 H12 O10,CHO,15,12,10,0,0
7937,C23 H38 O9,CHO,23,38,9,0,0
7937,C28 H34 O11,CHO,28,34,11,0,0
7937,C11 H13 N1 O6,CHNO,11,13,6,1,0
7937,C19 H13 N1 O6,CHNO,19,13,6,1,0
7937,C12 H12 N2 O6,CHNO,12,12,6,2,0
7937,C25 H18 O13,CHO,25,18,13,0,0
7937,C18 H19 N1 O6,CHNO,18,19,6,1,0
