timepoint,cd_name,empty_slots,free_bikes,slots
2,Upper West Side (CD7),790,781,1884
2,Washington Heights and Inwood (CD12),791,605,1515
2,Woodside and Sunnyside (CD2),1073,1022,2218
3,Bay Ridge and Dyker Heights (CD10),24,108,146
3,Bedford Stuyvesant (CD3),898,344,1372
3,Belmont and East Tremont (CD6),302,92,425
3,Borough Park (CD12),25,216,252
3,Brownsville (CD16),351,97,459
3,Bushwick (CD4),864,494,1449
3,Central Harlem (CD10),401,586,1092
3,Clinton and Chelsea (CD4),1434,1470,3438
3,Crown Heights and Prospect Heights (CD8),687,306,1108
3,East Flatbush (CD17),30,534,589
3,East Harlem (CD11),459,635,1209
3,East New York and Starrett City (CD5),47,14,66
3,Elmhurst and Corona (CD4),305,671,1013
3,Financial District (CD1),931,1627,2809
3,Flatbush and Midwood (CD14),68,425,526
3,Fordham and University Heights (CD5),588,288,955
3,Fort Greene and Brooklyn Heights (CD2),1223,1759,3275
3,Greenpoint and Williamsburg (CD1),1067,2156,3453
3,Greenwich Village and Soho (CD2),826,1877,3060
3,Highbridge and Concourse (CD4),576,605,1289
3,Hunts Point and Longwood (CD2),231,232,491
3,Jackson Heights (CD3),929,781,1783
3,Kingsbridge Heights and Bedford (CD7),522,399,1026
3,Long Island City and Astoria (CD1),1300,1574,3046
3,Lower East Side and Chinatown (CD3),1254,2215,3864
3,Midtown (CD5),3008,644,4178
3,Morningside Heights and Hamilton Heights (CD9),720,265,1095
3,Morrisania and Crotona (CD3),326,429,830
3,Mott Haven and Melrose (CD1),493,560,1151
3,Park Slope and Carroll Gardens (CD6),534,1354,2132
3,Ridgewood and Maspeth (CD5),683,630,1380
3,Riverdale and Fieldston (CD8),155,11,167
3,South Crown Heights and Lefferts Gardens (CD9),471,605,1128
3,Stuyvesant Town and Turtle Bay (CD6),1558,657,2496
3,Sunset Park (CD7),523,1104,1699
3,Upper East Side (CD8),1086,737,2088
3,Upper West Side (CD7),764,806,1884
3,Washington Heights and Inwood (CD12),796,601,1515
3,Woodside and Sunnyside (CD2),1080,1015,2218
4,Bay Ridge and Dyker Heights (CD10),23,109,146
4,Bedford Stuyvesant (CD3),868,376,1372
4,Belmont and East Tremont (CD6),303,92,425
4,Borough Park (CD12),25,216,252
4,Brownsville (CD16),349,99,459
4,Bushwick (CD4),847,511,1449
4,Central Harlem (CD10),388,598,1092
4,Clinton and Chelsea (CD4),1370,1519,3438
4,Crown Heights and Prospect Heights (CD8),658,336,1108
4,East Flatbush (CD17),28,536,589
4,East Harlem (CD11),449,645,1209
4,East New York and Starrett City (CD5),48,13,66
4,Elmhurst and Corona (CD4),302,673,1013
4,Financial District (CD1),935,1623,2809
4,Flatbush and Midwood (CD14),54,437,526
4,Fordham and University Heights (CD5),585,290,955
4,Fort Greene and Brooklyn Heights (CD2),1227,1755,3275
4,Greenpoint and Williamsburg (CD1),1002,2236,3453
4,Greenwich Village and Soho (CD2),921,1781,3060
4,Highbridge and Concourse (CD4),568,610,1289
4,Hunts Point and Longwood (CD2),226,239,491
4,Jackson Heights (CD3),921,794,1783
