formula_string,transformation_unit,new_C,new_H,new_O,new_N,new_S,tu_C,tu_H,tu_O,tu_N,tu_S,new_formula
C15 H11 N1 O6,O1,15,11,5,1,0,0,0,1,0,0,C15 H11 N1 O5
C15 H11 N1 O6,H2 O1,15,9,5,1,0,0,2,1,0,0,C15 H9 N1 O5
C15 H11 N1 O6,-C1 -H2 O1,16,13,5,1,0,-1,-2,1,0,0,C16 H13 N1 O5
C15 H11 N1 O6,-H2 O1,15,13,5,1,0,0,-2,1,0,0,C15 H13 N1 O5
C15 H11 N1 O6,-H4 O2,15,15,4,1,0,0,-4,2,0,0,C15 H15 N1 O4
C15 H11 N1 O6,O2,15,11,4,1,0,0,0,2,0,0,C15 H11 N1 O4
C15 H11 N1 O6,-H1 O2 N1,15,12,4,0,0,0,-1,2,1,0,C15 H12 O4
C26 H20 O15,O1,26,20,14,0,0,0,0,1,0,0,C26 H20 O14
C26 H20 O15,H2 O1,26,18,14,0,0,0,2,1,0,0,C26 H18 O14
C26 H20 O15,-C1 -H2 O1,27,22,14,0,0,-1,-2,1,0,0,C27 H22 O14
C26 H20 O15,-H2 O1,26,22,14,0,0,0,-2,1,0,0,C26 H22 O14
C26 H20 O15,-H4 O2,26,24,13,0,0,0,-4,2,0,0,C26 H24 O13
C26 H20 O15,O2,26,20,13,0,0,0,0,2,0,0,C26 H20 O13
C15 H17 N1 O8,O1,15,17,7,1,0,0,0,1,0,0,C15 H17 N1 O7
C15 H17 N1 O8,H2 O1,15,15,7,1,0,0,2,1,0,0,C15 H15 N1 O7
C15 H17 N1 O8,-C1 -H2 O1,16,19,7,1,0,-1,-2,1,0,0,C16 H19 N1 O7
C15 H17 N1 O8,-H2 O1,15,19,7,1,0,0,-2,1,0,0,C15 H19 N1 O7
C15 H17 N1 O8,-H1 O1 -N1,15,18,7,2,0,0,-1,1,-1,0,C15 H18 N2 O7
C15 H17 N1 O8,-H4 O2,15,21,6,1,0,0,-4,2,0,0,C15 H21 N1 O6
C15 H17 N1 O8,O2,15,17,6,1,0,0,0,2,0,0,C15 H17 N1 O6
C15 H17 N1 O8,-H1 O2 N1,15,18,6,0,0,0,-1,2,1,0,C15 H18 O6
C20 H21 N1 O10,O1,20,21,9,1,0,0,0,1,0,0,C20 H21 N1 O9
C20 H21 N1 O10,H2 O1,20,19,9,1,0,0,2,1,0,0,C20 H19 N1 O9
C20 H21 N1 O10,-C1 -H2 O1,21,23,9,1,0,-1,-2,1,0,0,C21 H23 N1 O9
C20 H21 N1 O10,-H2 O1,20,23,9,1,0,0,-2,1,0,0,C20 H23 N1 O9
C20 H21 N1 O10,-H1 O1 -N1,20,22,9,2,0,0,-1,1,-1,0,C20 H22 N2 O9
C20 H21 N1 O10,-H4 O2,20,25,8,1,0,0,-4,2,0,0,C20 H25 N1 O8
C20 H21 N1 O10,O2,20,21,8,1,0,0,0,2,0,0,C20 H21 N1 O8
C20 H21 N1 O10,-H1 O2 N1,20,22,8,0,0,0,-1,2,1,0,C20 H22 O8
C33 H46 O11,O1,33,46,10,0,0,0,0,1,0,0,C33 H46 O10
C33 H46 O11,H2 O1,33,44,10,0,0,0,2,1,0,0,C33 H44 O10
C33 H46 O11,-C1 -H2 O1,34,48,10,0,0,-1,-2,1,0,0,C34 H48 O10
C33 H46 O11,-H2 O1,33,48,10,0,0,0,-2,1,0,0,C33 H48 O10
C33 H46 O11,-H4 O2,33,50,9,0,0,0,-4,2,0,0,C33 H50 O9
C33 H46 O11,O2,33,46,9,0,0,0,0,2,0,0,C33 H46 O9
C16 H22 O8,O1,16,22,7,0,0,0,0,1,0,0,C16 H22 O7
C16 H22 O8,H2 O1,16,20,7,0,0,0,2,1,0,0,C16 H20 O7
C16 H22 O8,-C1 -H2 O1,17,24,7,0,0,-1,-2,1,0,0,C17 H24 O7
C16 H22 O8,-H2 O1,16,24,7,0,0,0,-2,1,0,0,C16 H24 O7
C16 H22 O8,-H1 O1 -N1,16,23,7,1,0,0,-1,1,-1,0,C16 H23 N1 O7
C16 H22 O8,-H4 O2,16,26,6,0,0,0,-4,2,0,0,C16 H26 O6
C9 H5 N1 O5,O1,9,5,4,1,0,0,0,1,0,0,C9 H5 N1 O4
C9 H5 N1 O5,-C1 -H2 O1,10,7,4,1,0,-1,-2,1,0,0,C10 H7 N1 O4
C9 H5 N1 O5,-H2 O1,9,7,4,1,0,0,-2,1,0,0,C9 H7 N1 O4
C9 H5 N1 O5,-H1 O1 -N1,9,6,4,2,0,0,-1,1,-1,0,C9 H6 N2 O4
C9 H5 N1 O5,-H4 O2,9,9,3,1,0,0,-4,2,0,0,C9 H9 N1 O3
C9 H5 N1 O5,O2,9,5,3,1,0,0,0,2,0,0,C9 H5 N1 O3
C9 H5 N1 O5,-H1 O2 N1,9,6,3,0,0,0,-1,2,1,0,C9 H6 O3
C15 H17 N1 O4,O1,15,17,3,1,0,0,0,1,0,0,C15 H17 N1 O3
C15 H17 N1 O4,H2 O1,15,15,3,1,0,0,2,1,0,0,C15 H15 N1 O3
C15 H17 N1 O4,-C1 -H2 O1,16,19,3,1,0,-1,-2,1,0,0,C16 H19 N1 O3
C15 H17 N1 O4,-H2 O1,15,19,3,1,0,0,-2,1,0,0,C15 H19 N1 O3
C15 H17 N1 O4,-H1 O1 -N1,15,18,3,2,0,0,-1,1,-1,0,C15 H18 N2 O3
C13 H16 O8,O1,13,16,7,0,0,0,0,1,0,0,C13 H16 O7
C13 H16 O8,H2 O1,13,14,7,0,0,0,2,1,0,0,C13 H14 O7
C13 H16 O8,-C1 -H2 O1,14,18,7,0,0,-1,-2,1,0,0,C14 H18 O7
C13 H16 O8,-H2 O1,13,18,7,0,0,0,-2,1,0,0,C13 H18 O7
C13 H16 O8,-H1 O1 -N1,13,17,7,1,0,0,-1,1,-1,0,C13 H17 N1 O7
C22 H20 O8,O1,22,20,7,0,0,0,0,1,0,0,C22 H20 O7
C22 H20 O8,H2 O1,22,18,7,0,0,0,2,1,0,0,C22 H18 O7
C22 H20 O8,-C1 -H2 O1,23,22,7,0,0,-1,-2,1,0,0,C23 H22 O7
C22 H20 O8,-H2 O1,22,22,7,0,0,0,-2,1,0,0,C22 H22 O7
C22 H20 O8,-H1 O1 -N1,22,21,7,1,0,0,-1,1,-1,0,C22 H21 N1 O7
C22 H20 O8,-H4 O2,22,24,6,0,0,0,-4,2,0,0,C22 H24 O6
C22 H20 O8,O2,22,20,6,0,0,0,0,2,0,0,C22 H20 O6
C21 H20 O9,O1,21,20,8,0,0,0,0,1,0,0,C21 H20 O8
C21 H20 O9,H2 O1,21,18,8,0,0,0,2,1,0,0,C21 H18 O8
C21 H20 O9,-C1 -H2 O1,22,22,8,0,0,-1,-2,1,0,0,C22 H22 O8
C21 H20 O9,-H2 O1,21,22,8,0,0,0,-2,1,0,0,C21 H22 O8
C21 H20 O9,-H1 O1 -N1,21,21,8,1,0,0,-1,1,-1,0,C21 H21 N1 O8
C21 H20 O9,O2,21,20,7,0,0,0,0,2,0,0,C21 H20 O7
C10 H14 O7,O1,10,14,6,0,0,0,0,1,0,0,C10 H14 O6
C10 H14 O7,H2 O1,10,12,6,0,0,0,2,1,0,0,C10 H12 O6
C10 H14 O7,-C1 -H2 O1,11,16,6,0,0,-1,-2,1,0,0,C11 H16 O6
C10 H14 O7,-H2 O1,10,16,6,0,0,0,-2,1,0,0,C10 H16 O6
C10 H14 O7,-H1 O1 -N1,10,15,6,1,0,0,-1,1,-1,0,C10 H15 N1 O6
C20 H14 O9,O1,20,14,8,0,0,0,0,1,0,0,C20 H14 O8
C20 H14 O9,H2 O1,20,12,8,0,0,0,2,1,0,0,C20 H12 O8
C20 H14 O9,-C1 -H2 O1,21,16,8,0,0,-1,-2,1,0,0,C21 H16 O8
C20 H14 O9,-H2 O1,20,16,8,0,0,0,-2,1,0,0,C20 H16 O8
C20 H14 O9,-H1 O1 -N1,20,15,8,1,0,0,-1,1,-1,0,C20 H15 N1 O8
C20 H14 O9,-H4 O2,20,18,7,0,0,0,-4,2,0,0,C20 H18 O7
C20 H14 O9,O2,20,14,7,0,0,0,0,2,0,0,C20 H14 O7
C15 H12 O11,O1,15,12,10,0,0,0,0,1,0,0,C15 H12 O10
C15 H12 O11,H2 O1,15,10,10,0,0,0,2,1,0,0,C15 H10 O10
C15 H12 O11,-C1 -H2 O1,16,14,10,0,0,-1,-2,1,0,0,C16 H14 O10
C15 H12 O11,-H2 O1,15,14,10,0,0,0,-2,1,0,0,C15 H14 O10
C15 H12 O11,-H1 O1 -N1,15,13,10,1,0,0,-1,1,-1,0,C15 H13 N1 O10
C15 H12 O11,O2,15,12,9,0,0,0,0,2,0,0,C15 H12 O9
C23 H29 N1 O11,O1,23,29,10,1,0,0,0,1,0,0,C23 H29 N1 O10
C23 H29 N1 O11,H2 O1,23,27,10,1,0,0,2,1,0,0,C23 H27 N1 O10
C23 H29 N1 O11,-C1 -H2 O1,24,31,10,1,0,-1,-2,1,0,0,C24 H31 N1 O10
C23 H29 N1 O11,-H2 O1,23,31,10,1,0,0,-2,1,0,0,C23 H31 N1 O10
C23 H29 N1 O11,-H4 O2,23,33,9,1,0,0,-4,2,0,0,C23 H33 N1 O9
C23 H29 N1 O11,O2,23,29,9,1,0,0,0,2,0,0,C23 H29 N1 O9
C23 H29 N1 O11,-H1 O2 N1,23,30,9,0,0,0,-1,2,1,0,C23 H30 O9
C26 H20 O8 S1,O1,26,20,7,0,1,0,0,1,0,0,C26 H20 O7 S1
C26 H20 O8 S1,-C1 -H2 O1,27,22,7,0,1,-1,-2,1,0,0,C27 H22 O7 S1
C26 H20 O8 S1,-H2 O1,26,22,7,0,1,0,-2,1,0,0,C26 H22 O7 S1
C26 H20 O8 S1,-H4 O2,26,24,6,0,1,0,-4,2,0,0,C26 H24 O6 S1
C19 H8 O10,O1,19,8,9,0,0,0,0,1,0,0,C19 H8 O9
C19 H8 O10,-C1 -H2 O1,20,10,9,0,0,-1,-2,1,0,0,C20 H10 O9
C19 H8 O10,-H2 O1,19,10,9,0,0,0,-2,1,0,0,C19 H10 O9
C19 H8 O10,O2,19,8,8,0,0,0,0,2,0,0,C19 H8 O8
C22 H25 N1 O8,O1,22,25,7,1,0,0,0,1,0,0,C22 H25 N1 O7
C22 H25 N1 O8,H2 O1,22,23,7,1,0,0,2,1,0,0,C22 H23 N1 O7
C22 H25 N1 O8,-C1 -H2 O1,23,27,7,1,0,-1,-2,1,0,0,C23 H27 N1 O7
C22 H25 N1 O8,-H2 O1,22,27,7,1,0,0,-2,1,0,0,C22 H27 N1 O7
C22 H25 N1 O8,-H4 O2,22,29,6,1,0,0,-4,2,0,0,C22 H29 N1 O6
C22 H25 N1 O8,O2,22,25,6,1,0,0,0,2,0,0,C22 H25 N1 O6
C27 H42 O8,O1,27,42,7,0,0,0,0,1,0,0,C27 H42 O7
C27 H42 O8,H2 O1,27,40,7,0,0,0,2,1,0,0,C27 H40 O7
C27 H42 O8,-C1 -H2 O1,28,44,7,0,0,-1,-2,1,0,0,C28 H44 O7
C27 H42 O8,-H2 O1,27,44,7,0,0,0,-2,1,0,0,C27 H44 O7
C27 H42 O8,-H4 O2,27,46,6,0,0,0,-4,2,0,0,C27 H46 O6
C27 H42 O8,O2,27,42,6,0,0,0,0,2,0,0,C27 H42 O6
C13 H7 N1 O5,O1,13,7,4,1,0,0,0,1,0,0,C13 H7 N1 O4
C13 H7 N1 O5,-C1 -H2 O1,14,9,4,1,0,-1,-2,1,0,0,C14 H9 N1 O4
C13 H7 N1 O5,-H2 O1,13,9,4,1,0,0,-2,1,0,0,C13 H9 N1 O4
C13 H7 N1 O5,-H4 O2,13,11,3,1,0,0,-4,2,0,0,C13 H11 N1 O3
C13 H7 N1 O5,O2,13,7,3,1,0,0,0,2,0,0,C13 H7 N1 O3
C13 H7 N1 O5,-H1 O2 N1,13,8,3,0,0,0,-1,2,1,0,C13 H8 O3
C15 H16 N2 O4,O1,15,16,3,2,0,0,0,1,0,0,C15 H16 N2 O3
C15 H16 N2 O4,H2 O1,15,14,3,2,0,0,2,1,0,0,C15 H14 N2 O3
C15 H16 N2 O4,-H2 O1,15,18,3,2,0,0,-2,1,0,0,C15 H18 N2 O3
C17 H12 O4,O1,17,12,3,0,0,0,0,1,0,0,C17 H12 O3
C17 H12 O4,H2 O1,17,10,3,0,0,0,2,1,0,0,C17 H10 O3
C17 H12 O4,-C1 -H2 O1,18,14,3,0,0,-1,-2,1,0,0,C18 H14 O3
C17 H12 O4,-H2 O1,17,14,3,0,0,0,-2,1,0,0,C17 H14 O3
C17 H12 O4,-H4 O2,17,16,2,0,0,0,-4,2,0,0,C17 H16 O2
C17 H12 O4,O2,17,12,2,0,0,0,0,2,0,0,C17 H12 O2
C28 H38 O13,O1,28,38,12,0,0,0,0,1,0,0,C28 H38 O12
C28 H38 O13,H2 O1,28,36,12,0,0,0,2,1,0,0,C28 H36 O12
C28 H38 O13,-C1 -H2 O1,29,40,12,0,0,-1,-2,1,0,0,C29 H40 O12
C28 H38 O13,-H2 O1,28,40,12,0,0,0,-2,1,0,0,C28 H40 O12
C28 H38 O13,-H1 O1 -N1,28,39,12,1,0,0,-1,1,-1,0,C28 H39 N1 O12
C28 H38 O13,-H4 O2,28,42,11,0,0,0,-4,2,0,0,C28 H42 O11
C28 H38 O13,O2,28,38,11,0,0,0,0,2,0,0,C28 H38 O11
C10 H9 N1 O4,O1,10,9,3,1,0,0,0,1,0,0,C10 H9 N1 O3
C10 H9 N1 O4,H2 O1,10,7,3,1,0,0,2,1,0,0,C10 H7 N1 O3
C10 H9 N1 O4,-C1 -H2 O1,11,11,3,1,0,-1,-2,1,0,0,C11 H11 N1 O3
C10 H9 N1 O4,-H2 O1,10,11,3,1,0,0,-2,1,0,0,C10 H11 N1 O3
C10 H9 N1 O4,-H1 O1 -N1,10,10,3,2,0,0,-1,1,-1,0,C10 H10 N2 O3
C10 H9 N1 O4,-H4 O2,10,13,2,1,0,0,-4,2,0,0,C10 H13 N1 O2
C10 H9 N1 O4,O2,10,9,2,1,0,0,0,2,0,0,C10 H9 N1 O2
C10 H9 N1 O4,-H1 O2 N1,10,10,2,0,0,0,-1,2,1,0,C10 H10 O2
C30 H46 O10,O1,30,46,9,0,0,0,0,1,0,0,C30 H46 O9
C30 H46 O10,H2 O1,30,44,9,0,0,0,2,1,0,0,C30 H44 O9
C30 H46 O10,-C1 -H2 O1,31,48,9,0,0,-1,-2,1,0,0,C31 H48 O9
C30 H46 O10,-H2 O1,30,48,9,0,0,0,-2,1,0,0,C30 H48 O9
C30 H46 O10,-H4 O2,30,50,8,0,0,0,-4,2,0,0,C30 H50 O8
C30 H46 O10,O2,30,46,8,0,0,0,0,2,0,0,C30 H46 O8
C28 H34 O7,O1,28,34,6,0,0,0,0,1,0,0,C28 H34 O6
C28 H34 O7,-H2 O1,28,36,6,0,0,0,-2,1,0,0,C28 H36 O6
C19 H32 O5,O1,19,32,4,0,0,0,0,1,0,0,C19 H32 O4
C19 H32 O5,H2 O1,19,30,4,0,0,0,2,1,0,0,C19 H30 O4
C19 H32 O5,-C1 -H2 O1,20,34,4,0,0,-1,-2,1,0,0,C20 H34 O4
C19 H32 O5,-H2 O1,19,34,4,0,0,0,-2,1,0,0,C19 H34 O4
C19 H32 O5,O2,19,32,3,0,0,0,0,2,0,0,C19 H32 O3
C16 H18 O11,O1,16,18,10,0,0,0,0,1,0,0,C16 H18 O10
C16 H18 O11,H2 O1,16,16,10,0,0,0,2,1,0,0,C16 H16 O10
C16 H18 O11,-C1 -H2 O1,17,20,10,0,0,-1,-2,1,0,0,C17 H20 O10
C16 H18 O11,-H2 O1,16,20,10,0,0,0,-2,1,0,0,C16 H20 O10
C16 H18 O11,-H1 O1 -N1,16,19,10,1,0,0,-1,1,-1,0,C16 H19 N1 O10
C16 H18 O11,-H4 O2,16,22,9,0,0,0,-4,2,0,0,C16 H22 O9
C16 H18 O11,O2,16,18,9,0,0,0,0,2,0,0,C16 H18 O9
C17 H8 O4 S1,-H2 O1,17,10,3,0,1,0,-2,1,0,0,C17 H10 O3 S1
C17 H8 O4 S1,-H4 O2,17,12,2,0,1,0,-4,2,0,0,C17 H12 O2 S1
C16 H20 O7 S1,-H2 O1,16,22,6,0,1,0,-2,1,0,0,C16 H22 O6 S1
C16 H20 O7 S1,-H4 O2,16,24,5,0,1,0,-4,2,0,0,C16 H24 O5 S1
C23 H32 O9,O1,23,32,8,0,0,0,0,1,0,0,C23 H32 O8
C23 H32 O9,H2 O1,23,30,8,0,0,0,2,1,0,0,C23 H30 O8
C23 H32 O9,-C1 -H2 O1,24,34,8,0,0,-1,-2,1,0,0,C24 H34 O8
C23 H32 O9,-H2 O1,23,34,8,0,0,0,-2,1,0,0,C23 H34 O8
C23 H32 O9,-H1 O1 -N1,23,33,8,1,0,0,-1,1,-1,0,C23 H33 N1 O8
C23 H32 O9,-H4 O2,23,36,7,0,0,0,-4,2,0,0,C23 H36 O7
C23 H32 O9,O2,23,32,7,0,0,0,0,2,0,0,C23 H32 O7
C30 H34 O15,O1,30,34,14,0,0,0,0,1,0,0,C30 H34 O14
C30 H34 O15,H2 O1,30,32,14,0,0,0,2,1,0,0,C30 H32 O14
C30 H34 O15,-C1 -H2 O1,31,36,14,0,0,-1,-2,1,0,0,C31 H36 O14
C30 H34 O15,-H2 O1,30,36,14,0,0,0,-2,1,0,0,C30 H36 O14
C30 H34 O15,-H4 O2,30,38,13,0,0,0,-4,2,0,0,C30 H38 O13
C30 H34 O15,O2,30,34,13,0,0,0,0,2,0,0,C30 H34 O13
C17 H15 N1 O6,O1,17,15,5,1,0,0,0,1,0,0,C17 H15 N1 O5
C17 H15 N1 O6,H2 O1,17,13,5,1,0,0,2,1,0,0,C17 H13 N1 O5
C17 H15 N1 O6,-C1 -H2 O1,18,17,5,1,0,-1,-2,1,0,0,C18 H17 N1 O5
C17 H15 N1 O6,-H2 O1,17,17,5,1,0,0,-2,1,0,0,C17 H17 N1 O5
C17 H15 N1 O6,-H4 O2,17,19,4,1,0,0,-4,2,0,0,C17 H19 N1 O4
C17 H15 N1 O6,O2,17,15,4,1,0,0,0,2,0,0,C17 H15 N1 O4
C17 H15 N1 O6,-H1 O2 N1,17,16,4,0,0,0,-1,2,1,0,C17 H16 O4
C19 H8 O6 S1,-H2 O1,19,10,5,0,1,0,-2,1,0,0,C19 H10 O5 S1
C19 H8 O6 S1,-H4 O2,19,12,4,0,1,0,-4,2,0,0,C19 H12 O4 S1
C20 H30 O6,O1,20,30,5,0,0,0,0,1,0,0,C20 H30 O5
C20 H30 O6,-C1 -H2 O1,21,32,5,0,0,-1,-2,1,0,0,C21 H32 O5
C20 H30 O6,-H2 O1,20,32,5,0,0,0,-2,1,0,0,C20 H32 O5
C20 H30 O6,-H1 O1 -N1,20,31,5,1,0,0,-1,1,-1,0,C20 H31 N1 O5
C20 H30 O6,-H4 O2,20,34,4,0,0,0,-4,2,0,0,C20 H34 O4
C10 H16 N2 O10 S1,-H4 O2,10,20,8,2,1,0,-4,2,0,0,C10 H20 N2 O8 S1
C10 H16 N2 O10 S1,-H1 O2 N1,10,17,8,1,1,0,-1,2,1,0,C10 H17 N1 O8 S1
C16 H13 N1 O9,O1,16,13,8,1,0,0,0,1,0,0,C16 H13 N1 O8
C16 H13 N1 O9,H2 O1,16,11,8,1,0,0,2,1,0,0,C16 H11 N1 O8
C16 H13 N1 O9,-C1 -H2 O1,17,15,8,1,0,-1,-2,1,0,0,C17 H15 N1 O8
C16 H13 N1 O9,-H2 O1,16,15,8,1,0,0,-2,1,0,0,C16 H15 N1 O8
C16 H13 N1 O9,-H1 O1 -N1,16,14,8,2,0,0,-1,1,-1,0,C16 H14 N2 O8
C16 H13 N1 O9,-H4 O2,16,17,7,1,0,0,-4,2,0,0,C16 H17 N1 O7
C16 H13 N1 O9,O2,16,13,7,1,0,0,0,2,0,0,C16 H13 N1 O7
C16 H13 N1 O9,-H1 O2 N1,16,14,7,0,0,0,-1,2,1,0,C16 H14 O7
C17 H10 O3 S1,-H2 O1,17,12,2,0,1,0,-2,1,0,0,C17 H12 O2 S1
C17 H10 O3 S1,-H4 O2,17,14,1,0,1,0,-4,2,0,0,C17 H14 O1 S1
C13 H7 N1 O4,O1,13,7,3,1,0,0,0,1,0,0,C13 H7 N1 O3
C13 H7 N1 O4,-C1 -H2 O1,14,9,3,1,0,-1,-2,1,0,0,C14 H9 N1 O3
C13 H7 N1 O4,-H2 O1,13,9,3,1,0,0,-2,1,0,0,C13 H9 N1 O3
C13 H7 N1 O4,-H1 O1 -N1,13,8,3,2,0,0,-1,1,-1,0,C13 H8 N2 O3
C13 H7 N1 O4,-H4 O2,13,11,2,1,0,0,-4,2,0,0,C13 H11 N1 O2
C13 H7 N1 O4,-H1 O2 N1,13,8,2,0,0,0,-1,2,1,0,C13 H8 O2
C21 H19 N1 O10,O1,21,19,9,1,0,0,0,1,0,0,C21 H19 N1 O9
C21 H19 N1 O10,H2 O1,21,17,9,1,0,0,2,1,0,0,C21 H17 N1 O9
C21 H19 N1 O10,-C1 -H2 O1,22,21,9,1,0,-1,-2,1,0,0,C22 H21 N1 O9
C21 H19 N1 O10,-H2 O1,21,21,9,1,0,0,-2,1,0,0,C21 H21 N1 O9
C21 H19 N1 O10,-H4 O2,21,23,8,1,0,0,-4,2,0,0,C21 H23 N1 O8
C21 H19 N1 O10,O2,21,19,8,1,0,0,0,2,0,0,C21 H19 N1 O8
C21 H19 N1 O10,-H1 O2 N1,21,20,8,0,0,0,-1,2,1,0,C21 H20 O8
C12 H17 N1 O6,O1,12,17,5,1,0,0,0,1,0,0,C12 H17 N1 O5
C12 H17 N1 O6,H2 O1,12,15,5,1,0,0,2,1,0,0,C12 H15 N1 O5
C12 H17 N1 O6,-C1 -H2 O1,13,19,5,1,0,-1,-2,1,0,0,C13 H19 N1 O5
C12 H17 N1 O6,-H2 O1,12,19,5,1,0,0,-2,1,0,0,C12 H19 N1 O5
C12 H17 N1 O6,-H1 O1 -N1,12,18,5,2,0,0,-1,1,-1,0,C12 H18 N2 O5
C12 H17 N1 O6,O2,12,17,4,1,0,0,0,2,0,0,C12 H17 N1 O4
C14 H15 N1 O6,O1,14,15,5,1,0,0,0,1,0,0,C14 H15 N1 O5
C14 H15 N1 O6,H2 O1,14,13,5,1,0,0,2,1,0,0,C14 H13 N1 O5
C14 H15 N1 O6,-C1 -H2 O1,15,17,5,1,0,-1,-2,1,0,0,C15 H17 N1 O5
C14 H15 N1 O6,-H2 O1,14,17,5,1,0,0,-2,1,0,0,C14 H17 N1 O5
C14 H15 N1 O6,-H1 O1 -N1,14,16,5,2,0,0,-1,1,-1,0,C14 H16 N2 O5
C14 H15 N1 O6,O2,14,15,4,1,0,0,0,2,0,0,C14 H15 N1 O4
C25 H18 O11,O1,25,18,10,0,0,0,0,1,0,0,C25 H18 O10
C25 H18 O11,H2 O1,25,16,10,0,0,0,2,1,0,0,C25 H16 O10
C25 H18 O11,-C1 -H2 O1,26,20,10,0,0,-1,-2,1,0,0,C26 H20 O10
C25 H18 O11,-H2 O1,25,20,10,0,0,0,-2,1,0,0,C25 H20 O10
C25 H18 O11,-H1 O1 -N1,25,19,10,1,0,0,-1,1,-1,0,C25 H19 N1 O10
C25 H18 O11,-H4 O2,25,22,9,0,0,0,-4,2,0,0,C25 H22 O9
C25 H18 O11,O2,25,18,9,0,0,0,0,2,0,0,C25 H18 O9
C30 H38 O11,O1,30,38,10,0,0,0,0,1,0,0,C30 H38 O10
C30 H38 O11,H2 O1,30,36,10,0,0,0,2,1,0,0,C30 H36 O10
C30 H38 O11,-C1 -H2 O1,31,40,10,0,0,-1,-2,1,0,0,C31 H40 O10
C30 H38 O11,-H2 O1,30,40,10,0,0,0,-2,1,0,0,C30 H40 O10
C30 H38 O11,-H4 O2,30,42,9,0,0,0,-4,2,0,0,C30 H42 O9
C30 H38 O11,O2,30,38,9,0,0,0,0,2,0,0,C30 H38 O9
C22 H20 O7,O1,22,20,6,0,0,0,0,1,0,0,C22 H20 O6
C22 H20 O7,H2 O1,22,18,6,0,0,0,2,1,0,0,C22 H18 O6
C22 H20 O7,-C1 -H2 O1,23,22,6,0,0,-1,-2,1,0,0,C23 H22 O6
C22 H20 O7,-H2 O1,22,22,6,0,0,0,-2,1,0,0,C22 H22 O6
C22 H20 O7,-H4 O2,22,24,5,0,0,0,-4,2,0,0,C22 H24 O5
C22 H20 O7,O2,22,20,5,0,0,0,0,2,0,0,C22 H20 O5
C15 H19 N1 O10,O1,15,19,9,1,0,0,0,1,0,0,C15 H19 N1 O9
C15 H19 N1 O10,H2 O1,15,17,9,1,0,0,2,1,0,0,C15 H17 N1 O9
C15 H19 N1 O10,-C1 -H2 O1,16,21,9,1,0,-1,-2,1,0,0,C16 H21 N1 O9
C15 H19 N1 O10,-H2 O1,15,21,9,1,0,0,-2,1,0,0,C15 H21 N1 O9
C15 H19 N1 O10,-H1 O1 -N1,15,20,9,2,0,0,-1,1,-1,0,C15 H20 N2 O9
C15 H19 N1 O10,-H4 O2,15,23,8,1,0,0,-4,2,0,0,C15 H23 N1 O8
C15 H19 N1 O10,O2,15,19,8,1,0,0,0,2,0,0,C15 H19 N1 O8
C9 H5 N1 O6,O1,9,5,5,1,0,0,0,1,0,0,C9 H5 N1 O5
C9 H5 N1 O6,-C1 -H2 O1,10,7,5,1,0,-1,-2,1,0,0,C10 H7 N1 O5
C9 H5 N1 O6,-H2 O1,9,7,5,1,0,0,-2,1,0,0,C9 H7 N1 O5
C9 H5 N1 O6,-H1 O1 -N1,9,6,5,2,0,0,-1,1,-1,0,C9 H6 N2 O5
C9 H5 N1 O6,-H4 O2,9,9,4,1,0,0,-4,2,0,0,C9 H9 N1 O4
C9 H5 N1 O6,O2,9,5,4,1,0,0,0,2,0,0,C9 H5 N1 O4
C9 H5 N1 O6,-H1 O2 N1,9,6,4,0,0,0,-1,2,1,0,C9 H6 O4
C16 H24 O9,O1,16,24,8,0,0,0,0,1,0,0,C16 H24 O8
C16 H24 O9,H2 O1,16,22,8,0,0,0,2,1,0,0,C16 H22 O8
C16 H24 O9,-C1 -H2 O1,17,26,8,0,0,-1,-2,1,0,0,C17 H26 O8
C16 H24 O9,-H2 O1,16,26,8,0,0,0,-2,1,0,0,C16 H26 O8
C16 H24 O9,-H1 O1 -N1,16,25,8,1,0,0,-1,1,-1,0,C16 H25 N1 O8
C16 H24 O9,-H4 O2,16,28,7,0,0,0,-4,2,0,0,C16 H28 O7
C16 H24 O9,O2,16,24,7,0,0,0,0,2,0,0,C16 H24 O7
C17 H14 O8,O1,17,14,7,0,0,0,0,1,0,0,C17 H14 O7
C17 H14 O8,H2 O1,17,12,7,0,0,0,2,1,0,0,C17 H12 O7
C17 H14 O8,-C1 -H2 O1,18,16,7,0,0,-1,-2,1,0,0,C18 H16 O7
C17 H14 O8,-H2 O1,17,16,7,0,0,0,-2,1,0,0,C17 H16 O7
C17 H14 O8,-H1 O1 -N1,17,15,7,1,0,0,-1,1,-1,0,C17 H15 N1 O7
C15 H21 N1 O9,O1,15,21,8,1,0,0,0,1,0,0,C15 H21 N1 O8
C15 H21 N1 O9,H2 O1,15,19,8,1,0,0,2,1,0,0,C15 H19 N1 O8
C15 H21 N1 O9,-C1 -H2 O1,16,23,8,1,0,-1,-2,1,0,0,C16 H23 N1 O8
C15 H21 N1 O9,-H2 O1,15,23,8,1,0,0,-2,1,0,0,C15 H23 N1 O8
C15 H21 N1 O9,-H1 O1 -N1,15,22,8,2,0,0,-1,1,-1,0,C15 H22 N2 O8
C15 H21 N1 O9,-H4 O2,15,25,7,1,0,0,-4,2,0,0,C15 H25 N1 O7
C15 H21 N1 O9,O2,15,21,7,1,0,0,0,2,0,0,C15 H21 N1 O7
