from_cd,to_cd
Midtown (CD5),Mott Haven and Melrose (CD1)
Midtown (CD5),Park Slope and Carroll Gardens (CD6)
Clinton and Chelsea (CD4),Crown Heights and Prospect Heights (CD8)
Clinton and Chelsea (CD4),Midtown (CD5)
Clinton and Chelsea (CD4),Upper West Side (CD7)
Clinton and Chelsea (CD4),East Harlem (CD11)
Clinton and Chelsea (CD4),Fort Greene and Brooklyn Heights (CD2)
Clinton and Chelsea (CD4),Bedford Stuyvesant (CD3)
Clinton and Chelsea (CD4),Bushwick (CD4)
Clinton and Chelsea (CD4),Stuyvesant Town and Turtle Bay (CD6)
Clinton and Chelsea (CD4),Greenwich Village and Soho (CD2)
Clinton and Chelsea (CD4),Woodside and Sunnyside (CD2)
Clinton and Chelsea (CD4),Financial District (CD1)
Clinton and Chelsea (CD4),Lower East Side and Chinatown (CD3)
Clinton and Chelsea (CD4),Greenpoint and Williamsburg (CD1)
Clinton and Chelsea (CD4),Morningside Heights and Hamilton Heights (CD9)
Clinton and Chelsea (CD4),Central Harlem (CD10)
Clinton and Chelsea (CD4),Upper East Side (CD8)
Clinton and Chelsea (CD4),Long Island City and Astoria (CD1)
Clinton and Chelsea (CD4),Mott Haven and Melrose (CD1)
Clinton and Chelsea (CD4),Park Slope and Carroll Gardens (CD6)
Upper West Side (CD7),Highbridge and Concourse (CD4)
Upper West Side (CD7),Fordham and University Heights (CD5)
Upper West Side (CD7),Morrisania and Crotona (CD3)
Upper West Side (CD7),Midtown (CD5)
Upper West Side (CD7),Clinton and Chelsea (CD4)
Upper West Side (CD7),East Harlem (CD11)
Upper West Side (CD7),Jackson Heights (CD3)
Upper West Side (CD7),Washington Heights and Inwood (CD12)
Upper West Side (CD7),Stuyvesant Town and Turtle Bay (CD6)
Upper West Side (CD7),Greenwich Village and Soho (CD2)
Upper West Side (CD7),Woodside and Sunnyside (CD2)
Upper West Side (CD7),Financial District (CD1)
Upper West Side (CD7),Lower East Side and Chinatown (CD3)
Upper West Side (CD7),Greenpoint and Williamsburg (CD1)
Upper West Side (CD7),Morningside Heights and Hamilton Heights (CD9)
Upper West Side (CD7),Central Harlem (CD10)
Upper West Side (CD7),Upper East Side (CD8)
Upper West Side (CD7),Long Island City and Astoria (CD1)
Upper West Side (CD7),Mott Haven and Melrose (CD1)
Upper West Side (CD7),Hunts Point and Longwood (CD2)
Borough Park (CD12),Crown Heights and Prospect Heights (CD8)
Borough Park (CD12),Bay Ridge and Dyker Heights (CD10)
Borough Park (CD12),Fort Greene and Brooklyn Heights (CD2)
Borough Park (CD12),Bedford Stuyvesant (CD3)
Borough Park (CD12),Bushwick (CD4)
Borough Park (CD12),South Crown Heights and Lefferts Gardens (CD9)
Borough Park (CD12),Financial District (CD1)
Borough Park (CD12),Flatbush and Midwood (CD14)
Borough Park (CD12),Lower East Side and Chinatown (CD3)
Borough Park (CD12),Greenpoint and Williamsburg (CD1)
Borough Park (CD12),East New York and Starrett City (CD5)
Borough Park (CD12),Brownsville (CD16)
Borough Park (CD12),East Flatbush (CD17)
Borough Park (CD12),Park Slope and Carroll Gardens (CD6)
Borough Park (CD12),Sunset Park (CD7)
East Harlem (CD11),Highbridge and Concourse (CD4)
East Harlem (CD11),Fordham and University Heights (CD5)
East Harlem (CD11),Morrisania and Crotona (CD3)
East Harlem (CD11),Belmont and East Tremont (CD6)
East Harlem (CD11),Midtown (CD5)
East Harlem (CD11),Clinton and Chelsea (CD4)
East Harlem (CD11),Upper West Side (CD7)
East Harlem (CD11),Jackson Heights (CD3)
East Harlem (CD11),Washington Heights and Inwood (CD12)
East Harlem (CD11),Elmhurst and Corona (CD4)
East Harlem (CD11),Stuyvesant Town and Turtle Bay (CD6)
East Harlem (CD11),Greenwich Village and Soho (CD2)
East Harlem (CD11),Woodside and Sunnyside (CD2)
East Harlem (CD11),Lower East Side and Chinatown (CD3)
East Harlem (CD11),Greenpoint and Williamsburg (CD1)
East Harlem (CD11),Morningside Heights and Hamilton Heights (CD9)
East Harlem (CD11),Central Harlem (CD10)
East Harlem (CD11),Upper East Side (CD8)
East Harlem (CD11),Long Island City and Astoria (CD1)
East Harlem (CD11),Kingsbridge Heights and Bedford (CD7)
East Harlem (CD11),Mott Haven and Melrose (CD1)
East Harlem (CD11),Hunts Point and Longwood (CD2)
Jackson Heights (CD3),Highbridge and Concourse (CD4)
Jackson Heights (CD3),Morrisania and Crotona (CD3)
Jackson Heights (CD3),Midtown (CD5)
Jackson Heights (CD3),Upper West Side (CD7)
Jackson Heights (CD3),East Harlem (CD11)
Jackson Heights (CD3),Elmhurst and Corona (CD4)
Jackson Heights (CD3),Bedford Stuyvesant (CD3)
Jackson Heights (CD3),Bushwick (CD4)
Jackson Heights (CD3),Stuyvesant Town and Turtle Bay (CD6)
Jackson Heights (CD3),Woodside and Sunnyside (CD2)
Jackson Heights (CD3),Greenpoint and Williamsburg (CD1)
Jackson Heights (CD3),East New York and Starrett City (CD5)
Jackson Heights (CD3),Morningside Heights and Hamilton Heights (CD9)
Jackson Heights (CD3),Central Harlem (CD10)
Jackson Heights (CD3),Upper East Side (CD8)
Jackson Heights (CD3),Long Island City and Astoria (CD1)
Jackson Heights (CD3),Ridgewood and Maspeth (CD5)
Jackson Heights (CD3),Mott Haven and Melrose (CD1)
Jackson Heights (CD3),Hunts Point and Longwood (CD2)
Washington Heights and Inwood (CD12),Highbridge and Concourse (CD4)
Washington Heights and Inwood (CD12),Fordham and University Heights (CD5)
Washington Heights and Inwood (CD12),Morrisania and Crotona (CD3)
Washington Heights and Inwood (CD12),Belmont and East Tremont (CD6)
Washington Heights and Inwood (CD12),Upper West Side (CD7)
Washington Heights and Inwood (CD12),East Harlem (CD11)
Washington Heights and Inwood (CD12),Morningside Heights and Hamilton Heights (CD9)
Washington Heights and Inwood (CD12),Central Harlem (CD10)
Washington Heights and Inwood (CD12),Upper East Side (CD8)
Washington Heights and Inwood (CD12),Long Island City and Astoria (CD1)
Washington Heights and Inwood (CD12),Kingsbridge Heights and Bedford (CD7)
Washington Heights and Inwood (CD12),Mott Haven and Melrose (CD1)
Washington Heights and Inwood (CD12),Hunts Point and Longwood (CD2)
Elmhurst and Corona (CD4),Crown Heights and Prospect Heights (CD8)
Elmhurst and Corona (CD4),Midtown (CD5)
Elmhurst and Corona (CD4),East Harlem (CD11)
Elmhurst and Corona (CD4),Jackson Heights (CD3)
Elmhurst and Corona (CD4),Bedford Stuyvesant (CD3)
Elmhurst and Corona (CD4),Bushwick (CD4)
Elmhurst and Corona (CD4),Stuyvesant Town and Turtle Bay (CD6)
Elmhurst and Corona (CD4),Woodside and Sunnyside (CD2)
Elmhurst and Corona (CD4),Lower East Side and Chinatown (CD3)
Elmhurst and Corona (CD4),Greenpoint and Williamsburg (CD1)
Elmhurst and Corona (CD4),East New York and Starrett City (CD5)
Elmhurst and Corona (CD4),Upper East Side (CD8)
Elmhurst and Corona (CD4),Long Island City and Astoria (CD1)
Elmhurst and Corona (CD4),Brownsville (CD16)
Elmhurst and Corona (CD4),Ridgewood and Maspeth (CD5)
Elmhurst and Corona (CD4),Mott Haven and Melrose (CD1)
Elmhurst and Corona (CD4),Hunts Point and Longwood (CD2)
Fort Greene and Brooklyn Heights (CD2),Crown Heights and Prospect Heights (CD8)
Fort Greene and Brooklyn Heights (CD2),Bay Ridge and Dyker Heights (CD10)
Fort Greene and Brooklyn Heights (CD2),Midtown (CD5)
Fort Greene and Brooklyn Heights (CD2),Clinton and Chelsea (CD4)
Fort Greene and Brooklyn Heights (CD2),Borough Park (CD12)
Fort Greene and Brooklyn Heights (CD2),Bedford Stuyvesant (CD3)
Fort Greene and Brooklyn Heights (CD2),Bushwick (CD4)
Fort Greene and Brooklyn Heights (CD2),South Crown Heights and Lefferts Gardens (CD9)
Fort Greene and Brooklyn Heights (CD2),Stuyvesant Town and Turtle Bay (CD6)
Fort Greene and Brooklyn Heights (CD2),Greenwich Village and Soho (CD2)
Fort Greene and Brooklyn Heights (CD2),Woodside and Sunnyside (CD2)
Fort Greene and Brooklyn Heights (CD2),Financial District (CD1)
Fort Greene and Brooklyn Heights (CD2),Flatbush and Midwood (CD14)
Fort Greene and Brooklyn Heights (CD2),Lower East Side and Chinatown (CD3)
Fort Greene and Brooklyn Heights (CD2),Greenpoint and Williamsburg (CD1)
Fort Greene and Brooklyn Heights (CD2),East New York and Starrett City (CD5)
Fort Greene and Brooklyn Heights (CD2),Upper East Side (CD8)
Fort Greene and Brooklyn Heights (CD2),Brownsville (CD16)
Fort Greene and Brooklyn Heights (CD2),East Flatbush (CD17)
Fort Greene and Brooklyn Heights (CD2),Ridgewood and Maspeth (CD5)
Fort Greene and Brooklyn Heights (CD2),Park Slope and Carroll Gardens (CD6)
Fort Greene and Brooklyn Heights (CD2),Sunset Park (CD7)
Bedford Stuyvesant (CD3),Crown Heights and Prospect Heights (CD8)
Bedford Stuyvesant (CD3),Midtown (CD5)
Bedford Stuyvesant (CD3),Clinton and Chelsea (CD4)
Bedford Stuyvesant (CD3),Borough Park (CD12)
Bedford Stuyvesant (CD3),Jackson Heights (CD3)
Bedford Stuyvesant (CD3),Elmhurst and Corona (CD4)
Bedford Stuyvesant (CD3),Fort Greene and Brooklyn Heights (CD2)
Bedford Stuyvesant (CD3),Bushwick (CD4)
Bedford Stuyvesant (CD3),South Crown Heights and Lefferts Gardens (CD9)
Bedford Stuyvesant (CD3),Stuyvesant Town and Turtle Bay (CD6)
Bedford Stuyvesant (CD3),Greenwich Village and Soho (CD2)
Bedford Stuyvesant (CD3),Woodside and Sunnyside (CD2)
Bedford Stuyvesant (CD3),Financial District (CD1)
Bedford Stuyvesant (CD3),Flatbush and Midwood (CD14)
Bedford Stuyvesant (CD3),Lower East Side and Chinatown (CD3)
Bedford Stuyvesant (CD3),Greenpoint and Williamsburg (CD1)
Bedford Stuyvesant (CD3),East New York and Starrett City (CD5)
Bedford Stuyvesant (CD3),Upper East Side (CD8)
Bedford Stuyvesant (CD3),Long Island City and Astoria (CD1)
Bedford Stuyvesant (CD3),Brownsville (CD16)
Bedford Stuyvesant (CD3),East Flatbush (CD17)
Bedford Stuyvesant (CD3),Ridgewood and Maspeth (CD5)
Bedford Stuyvesant (CD3),Park Slope and Carroll Gardens (CD6)
Bedford Stuyvesant (CD3),Sunset Park (CD7)
Bushwick (CD4),Crown Heights and Prospect Heights (CD8)
Bushwick (CD4),Midtown (CD5)
Bushwick (CD4),Clinton and Chelsea (CD4)
Bushwick (CD4),Borough Park (CD12)
Bushwick (CD4),Jackson Heights (CD3)
Bushwick (CD4),Elmhurst and Corona (CD4)
Bushwick (CD4),Fort Greene and Brooklyn Heights (CD2)
Bushwick (CD4),Bedford Stuyvesant (CD3)
Bushwick (CD4),South Crown Heights and Lefferts Gardens (CD9)
Bushwick (CD4),Stuyvesant Town and Turtle Bay (CD6)
Bushwick (CD4),Greenwich Village and Soho (CD2)
Bushwick (CD4),Woodside and Sunnyside (CD2)
Bushwick (CD4),Financial District (CD1)
Bushwick (CD4),Flatbush and Midwood (CD14)
Bushwick (CD4),Lower East Side and Chinatown (CD3)
Bushwick (CD4),Greenpoint and Williamsburg (CD1)
Bushwick (CD4),East New York and Starrett City (CD5)
Bushwick (CD4),Upper East Side (CD8)
Bushwick (CD4),Long Island City and Astoria (CD1)
Bushwick (CD4),Brownsville (CD16)
Bushwick (CD4),East Flatbush (CD17)
Bushwick (CD4),Ridgewood and Maspeth (CD5)
Bushwick (CD4),Park Slope and Carroll Gardens (CD6)
Bushwick (CD4),Sunset Park (CD7)
South Crown Heights and Lefferts Gardens (CD9),Crown Heights and Prospect Heights (CD8)
South Crown Heights and Lefferts Gardens (CD9),Bay Ridge and Dyker Heights (CD10)
South Crown Heights and Lefferts Gardens (CD9),Borough Park (CD12)
South Crown Heights and Lefferts Gardens (CD9),Fort Greene and Brooklyn Heights (CD2)
South Crown Heights and Lefferts Gardens (CD9),Bedford Stuyvesant (CD3)
South Crown Heights and Lefferts Gardens (CD9),Bushwick (CD4)
South Crown Heights and Lefferts Gardens (CD9),Stuyvesant Town and Turtle Bay (CD6)
South Crown Heights and Lefferts Gardens (CD9),Greenwich Village and Soho (CD2)
South Crown Heights and Lefferts Gardens (CD9),Woodside and Sunnyside (CD2)
South Crown Heights and Lefferts Gardens (CD9),Financial District (CD1)
South Crown Heights and Lefferts Gardens (CD9),Flatbush and Midwood (CD14)
South Crown Heights and Lefferts Gardens (CD9),Lower East Side and Chinatown (CD3)
South Crown Heights and Lefferts Gardens (CD9),Greenpoint and Williamsburg (CD1)
South Crown Heights and Lefferts Gardens (CD9),East New York and Starrett City (CD5)
South Crown Heights and Lefferts Gardens (CD9),Brownsville (CD16)
South Crown Heights and Lefferts Gardens (CD9),East Flatbush (CD17)
South Crown Heights and Lefferts Gardens (CD9),Ridgewood and Maspeth (CD5)
South Crown Heights and Lefferts Gardens (CD9),Park Slope and Carroll Gardens (CD6)
South Crown Heights and Lefferts Gardens (CD9),Sunset Park (CD7)
Stuyvesant Town and Turtle Bay (CD6),Crown Heights and Prospect Heights (CD8)
Stuyvesant Town and Turtle Bay (CD6),Midtown (CD5)
Stuyvesant Town and Turtle Bay (CD6),Clinton and Chelsea (CD4)
Stuyvesant Town and Turtle Bay (CD6),Upper West Side (CD7)
Stuyvesant Town and Turtle Bay (CD6),East Harlem (CD11)
Stuyvesant Town and Turtle Bay (CD6),Jackson Heights (CD3)
Stuyvesant Town and Turtle Bay (CD6),Elmhurst and Corona (CD4)
Stuyvesant Town and Turtle Bay (CD6),Fort Greene and Brooklyn Heights (CD2)
