formula_string,transformation_unit,is_addition,new_C,new_H,new_O,new_N,new_S,tu_C,tu_H,tu_O,tu_N,tu_S,new_formula
C25 H12 N2 O13,-C1 -H3 O1 -N1,1,24,9,14,1,0,-1,-3,1,-1,0,C24 H9 N1 O14
C25 H12 N2 O13,H2 O1,1,25,14,14,2,0,0,2,1,0,0,C25 H14 N2 O14
C24 H14 O22 S1,C1 H3 -O1 N1,0,25,17,21,1,1,1,3,-1,1,0,C25 H17 N1 O21 S1
C31 H18 O23,O1,1,31,18,24,0,0,0,0,1,0,0,C31 H18 O24
C31 H18 O23,-O1,0,31,18,22,0,0,0,0,-1,0,0,C31 H18 O22
C31 H18 O23,H2 O2,1,31,20,25,0,0,0,2,2,0,0,C31 H20 O25
C31 H18 O23,-H2 -O2,0,31,16,21,0,0,0,-2,-2,0,0,C31 H16 O21
C31 H18 O23,C1 H3 -O1 N1,0,32,21,22,1,0,1,3,-1,1,0,C32 H21 N1 O22
C31 H18 O23,H2 O1,1,31,20,24,0,0,0,2,1,0,0,C31 H20 O24
C31 H18 O23,-H2 -O1,0,31,16,22,0,0,0,-2,-1,0,0,C31 H16 O22
C27 H34 N2 O22 S1,-H2 -O1,0,27,32,21,2,1,0,-2,-1,0,0,C27 H32 N2 O21 S1
C38 H72 O4,-H2 -O2,0,38,70,2,0,0,0,-2,-2,0,0,C38 H70 O2
C38 H72 O4,H2 O1,1,38,74,5,0,0,0,2,1,0,0,C38 H74 O5
C38 H72 O4,-H2 -O1,0,38,70,3,0,0,0,-2,-1,0,0,C38 H70 O3
C27 H23 N1 O16,O1,1,27,23,17,1,0,0,0,1,0,0,C27 H23 N1 O17
C27 H23 N1 O16,-O1,0,27,23,15,1,0,0,0,-1,0,0,C27 H23 N1 O15
C27 H23 N1 O16,H2 O2,1,27,25,18,1,0,0,2,2,0,0,C27 H25 N1 O18
C27 H23 N1 O16,-C1 -H3 O1 -N1,1,26,20,17,0,0,-1,-3,1,-1,0,C26 H20 O17
C27 H23 N1 O16,C1 H3 -O1 N1,0,28,26,15,2,0,1,3,-1,1,0,C28 H26 N2 O15
C27 H23 N1 O16,H2 O1,1,27,25,17,1,0,0,2,1,0,0,C27 H25 N1 O17
C27 H23 N1 O16,-H2 -O1,0,27,21,15,1,0,0,-2,-1,0,0,C27 H21 N1 O15
C22 H22 O16,O1,1,22,22,17,0,0,0,0,1,0,0,C22 H22 O17
C22 H22 O16,-O1,0,22,22,15,0,0,0,0,-1,0,0,C22 H22 O15
C22 H22 O16,H2 O2,1,22,24,18,0,0,0,2,2,0,0,C22 H24 O18
C22 H22 O16,-H2 -O2,0,22,20,14,0,0,0,-2,-2,0,0,C22 H20 O14
C22 H22 O16,C1 H3 -O1 N1,0,23,25,15,1,0,1,3,-1,1,0,C23 H25 N1 O15
C22 H22 O16,H2 O1,1,22,24,17,0,0,0,2,1,0,0,C22 H24 O17
C22 H22 O16,-H2 -O1,0,22,20,15,0,0,0,-2,-1,0,0,C22 H20 O15
C16 13C1 H12 O9,O1,1,16,12,10,0,0,0,0,1,0,0,C16 H12 O10
C16 13C1 H12 O9,-O1,0,16,12,8,0,0,0,0,-1,0,0,C16 H12 O8
C16 13C1 H12 O9,H2 O2,1,16,14,11,0,0,0,2,2,0,0,C16 H14 O11
C16 13C1 H12 O9,C1 H3 -O1 N1,0,17,15,8,1,0,1,3,-1,1,0,C17 H15 N1 O8
C16 13C1 H12 O9,H2 O1,1,16,14,10,0,0,0,2,1,0,0,C16 H14 O10
C16 13C1 H12 O9,-H2 -O1,0,16,10,8,0,0,0,-2,-1,0,0,C16 H10 O8
C19 H20 O9,O1,1,19,20,10,0,0,0,0,1,0,0,C19 H20 O10
C19 H20 O9,-O1,0,19,20,8,0,0,0,0,-1,0,0,C19 H20 O8
C19 H20 O9,H2 O2,1,19,22,11,0,0,0,2,2,0,0,C19 H22 O11
C19 H20 O9,H2 O1,1,19,22,10,0,0,0,2,1,0,0,C19 H22 O10
C19 H20 O9,-H2 -O1,0,19,18,8,0,0,0,-2,-1,0,0,C19 H18 O8
C38 H74 O9,H2 O2,1,38,76,11,0,0,0,2,2,0,0,C38 H76 O11
C38 H74 O9,-H2 -O2,0,38,72,7,0,0,0,-2,-2,0,0,C38 H72 O7
C36 H30 O20 S1,-H2 -O1,0,36,28,19,0,1,0,-2,-1,0,0,C36 H28 O19 S1
C28 H22 O19,O1,1,28,22,20,0,0,0,0,1,0,0,C28 H22 O20
C28 H22 O19,-O1,0,28,22,18,0,0,0,0,-1,0,0,C28 H22 O18
C28 H22 O19,H2 O2,1,28,24,21,0,0,0,2,2,0,0,C28 H24 O21
C28 H22 O19,-H2 -O2,0,28,20,17,0,0,0,-2,-2,0,0,C28 H20 O17
C28 H22 O19,C1 H3 -O1 N1,0,29,25,18,1,0,1,3,-1,1,0,C29 H25 N1 O18
C28 H22 O19,H2 O1,1,28,24,20,0,0,0,2,1,0,0,C28 H24 O20
C28 H22 O19,-H2 -O1,0,28,20,18,0,0,0,-2,-1,0,0,C28 H20 O18
C28 H25 N1 O17,O1,1,28,25,18,1,0,0,0,1,0,0,C28 H25 N1 O18
C28 H25 N1 O17,-O1,0,28,25,16,1,0,0,0,-1,0,0,C28 H25 N1 O16
C28 H25 N1 O17,H2 O2,1,28,27,19,1,0,0,2,2,0,0,C28 H27 N1 O19
C28 H25 N1 O17,-H2 -O2,0,28,23,15,1,0,0,-2,-2,0,0,C28 H23 N1 O15
C28 H25 N1 O17,-C1 -H3 O1 -N1,1,27,22,18,0,0,-1,-3,1,-1,0,C27 H22 O18
C28 H25 N1 O17,H2 O1,1,28,27,18,1,0,0,2,1,0,0,C28 H27 N1 O18
C28 H25 N1 O17,-H2 -O1,0,28,23,16,1,0,0,-2,-1,0,0,C28 H23 N1 O16
C23 13C1 H18 N2 O19,O1,1,23,18,20,2,0,0,0,1,0,0,C23 H18 N2 O20
C23 13C1 H18 N2 O19,-O1,0,23,18,18,2,0,0,0,-1,0,0,C23 H18 N2 O18
C23 13C1 H18 N2 O19,-C1 -H3 O1 -N1,1,22,15,20,1,0,-1,-3,1,-1,0,C22 H15 N1 O20
C23 13C1 H18 N2 O19,H2 O1,1,23,20,20,2,0,0,2,1,0,0,C23 H20 N2 O20
C22 13C1 H16 O15,O1,1,22,16,16,0,0,0,0,1,0,0,C22 H16 O16
C22 13C1 H16 O15,-O1,0,22,16,14,0,0,0,0,-1,0,0,C22 H16 O14
C22 13C1 H16 O15,H2 O2,1,22,18,17,0,0,0,2,2,0,0,C22 H18 O17
C22 13C1 H16 O15,-H2 -O2,0,22,14,13,0,0,0,-2,-2,0,0,C22 H14 O13
C22 13C1 H16 O15,C1 H3 -O1 N1,0,23,19,14,1,0,1,3,-1,1,0,C23 H19 N1 O14
C22 13C1 H16 O15,H2 O1,1,22,18,16,0,0,0,2,1,0,0,C22 H18 O16
C22 13C1 H16 O15,-H2 -O1,0,22,14,14,0,0,0,-2,-1,0,0,C22 H14 O14
C26 H17 N1 O15 S1,-O1,0,26,17,14,1,1,0,0,-1,0,0,C26 H17 N1 O14 S1
C26 H17 N1 O15 S1,-H2 -O2,0,26,15,13,1,1,0,-2,-2,0,0,C26 H15 N1 O13 S1
C26 H17 N1 O15 S1,C1 H3 -O1 N1,0,27,20,14,2,1,1,3,-1,1,0,C27 H20 N2 O14 S1
C26 H17 N1 O15 S1,-H2 -O1,0,26,15,14,1,1,0,-2,-1,0,0,C26 H15 N1 O14 S1
C25 H18 O14,O1,1,25,18,15,0,0,0,0,1,0,0,C25 H18 O15
C25 H18 O14,-O1,0,25,18,13,0,0,0,0,-1,0,0,C25 H18 O13
C25 H18 O14,H2 O2,1,25,20,16,0,0,0,2,2,0,0,C25 H20 O16
C25 H18 O14,H2 O1,1,25,20,15,0,0,0,2,1,0,0,C25 H20 O15
C25 H18 O14,-H2 -O1,0,25,16,13,0,0,0,-2,-1,0,0,C25 H16 O13
C18 H19 N1 O11,O1,1,18,19,12,1,0,0,0,1,0,0,C18 H19 N1 O12
C18 H19 N1 O11,-O1,0,18,19,10,1,0,0,0,-1,0,0,C18 H19 N1 O10
C18 H19 N1 O11,H2 O2,1,18,21,13,1,0,0,2,2,0,0,C18 H21 N1 O13
C18 H19 N1 O11,-H2 -O2,0,18,17,9,1,0,0,-2,-2,0,0,C18 H17 N1 O9
C18 H19 N1 O11,-C1 -H3 O1 -N1,1,17,16,12,0,0,-1,-3,1,-1,0,C17 H16 O12
C18 H19 N1 O11,H2 O1,1,18,21,12,1,0,0,2,1,0,0,C18 H21 N1 O12
C18 H19 N1 O11,-H2 -O1,0,18,17,10,1,0,0,-2,-1,0,0,C18 H17 N1 O10
C23 H12 O18,-O1,0,23,12,17,0,0,0,0,-1,0,0,C23 H12 O17
C23 H12 O18,-H2 -O2,0,23,10,16,0,0,0,-2,-2,0,0,C23 H10 O16
C23 H12 O18,C1 H3 -O1 N1,0,24,15,17,1,0,1,3,-1,1,0,C24 H15 N1 O17
C23 H12 O18,H2 O1,1,23,14,19,0,0,0,2,1,0,0,C23 H14 O19
C23 H12 O18,-H2 -O1,0,23,10,17,0,0,0,-2,-1,0,0,C23 H10 O17
C20 13C1 H22 O16,-O1,0,20,22,15,0,0,0,0,-1,0,0,C20 H22 O15
C20 13C1 H22 O16,-H2 -O2,0,20,20,14,0,0,0,-2,-2,0,0,C20 H20 O14
C20 13C1 H22 O16,-H2 -O1,0,20,20,15,0,0,0,-2,-1,0,0,C20 H20 O15
C12 13C1 H12 O11,-O1,0,12,12,10,0,0,0,0,-1,0,0,C12 H12 O10
C12 13C1 H12 O11,-H2 -O2,0,12,10,9,0,0,0,-2,-2,0,0,C12 H10 O9
C12 13C1 H12 O11,C1 H3 -O1 N1,0,13,15,10,1,0,1,3,-1,1,0,C13 H15 N1 O10
C12 13C1 H12 O11,-H2 -O1,0,12,10,10,0,0,0,-2,-1,0,0,C12 H10 O10
C12 H10 O12,-O1,0,12,10,11,0,0,0,0,-1,0,0,C12 H10 O11
C12 H10 O12,-H2 -O2,0,12,8,10,0,0,0,-2,-2,0,0,C12 H8 O10
C12 H10 O12,-H2 -O1,0,12,8,11,0,0,0,-2,-1,0,0,C12 H8 O11
C22 H15 N1 O14 S1,O1,1,22,15,15,1,1,0,0,1,0,0,C22 H15 N1 O15 S1
C35 H32 O21,O1,1,35,32,22,0,0,0,0,1,0,0,C35 H32 O22
C35 H32 O21,-O1,0,35,32,20,0,0,0,0,-1,0,0,C35 H32 O20
C35 H32 O21,H2 O2,1,35,34,23,0,0,0,2,2,0,0,C35 H34 O23
C35 H32 O21,-H2 -O2,0,35,30,19,0,0,0,-2,-2,0,0,C35 H30 O19
C35 H32 O21,H2 O1,1,35,34,22,0,0,0,2,1,0,0,C35 H34 O22
C35 H32 O21,-H2 -O1,0,35,30,20,0,0,0,-2,-1,0,0,C35 H30 O20
C13 H11 N1 O8,O1,1,13,11,9,1,0,0,0,1,0,0,C13 H11 N1 O9
C13 H11 N1 O8,-O1,0,13,11,7,1,0,0,0,-1,0,0,C13 H11 N1 O7
C13 H11 N1 O8,H2 O2,1,13,13,10,1,0,0,2,2,0,0,C13 H13 N1 O10
C13 H11 N1 O8,-C1 -H3 O1 -N1,1,12,8,9,0,0,-1,-3,1,-1,0,C12 H8 O9
C13 H11 N1 O8,C1 H3 -O1 N1,0,14,14,7,2,0,1,3,-1,1,0,C14 H14 N2 O7
C13 H11 N1 O8,H2 O1,1,13,13,9,1,0,0,2,1,0,0,C13 H13 N1 O9
C13 H11 N1 O8,-H2 -O1,0,13,9,7,1,0,0,-2,-1,0,0,C13 H9 N1 O7
C13 H10 O11,O1,1,13,10,12,0,0,0,0,1,0,0,C13 H10 O12
C13 H10 O11,-O1,0,13,10,10,0,0,0,0,-1,0,0,C13 H10 O10
C13 H10 O11,-H2 -O2,0,13,8,9,0,0,0,-2,-2,0,0,C13 H8 O9
C13 H10 O11,C1 H3 -O1 N1,0,14,13,10,1,0,1,3,-1,1,0,C14 H13 N1 O10
C13 H10 O11,H2 O1,1,13,12,12,0,0,0,2,1,0,0,C13 H12 O12
C13 H10 O11,-H2 -O1,0,13,8,10,0,0,0,-2,-1,0,0,C13 H8 O10
C27 H20 N2 O21 S1,-O1,0,27,20,20,2,1,0,0,-1,0,0,C27 H20 N2 O20 S1
C27 H20 N2 O21 S1,H2 O2,1,27,22,23,2,1,0,2,2,0,0,C27 H22 N2 O23 S1
C27 H20 N2 O21 S1,-H2 -O2,0,27,18,19,2,1,0,-2,-2,0,0,C27 H18 N2 O19 S1
C27 H20 N2 O21 S1,H2 O1,1,27,22,22,2,1,0,2,1,0,0,C27 H22 N2 O22 S1
C25 H20 N2 O23 S1,H2 O2,1,25,22,25,2,1,0,2,2,0,0,C25 H22 N2 O25 S1
C25 H20 N2 O23 S1,-H2 -O2,0,25,18,21,2,1,0,-2,-2,0,0,C25 H18 N2 O21 S1
C25 H20 N2 O23 S1,H2 O1,1,25,22,24,2,1,0,2,1,0,0,C25 H22 N2 O24 S1
C23 13C1 H16 O14,O1,1,23,16,15,0,0,0,0,1,0,0,C23 H16 O15
C23 13C1 H16 O14,-O1,0,23,16,13,0,0,0,0,-1,0,0,C23 H16 O13
C23 13C1 H16 O14,H2 O2,1,23,18,16,0,0,0,2,2,0,0,C23 H18 O16
C23 13C1 H16 O14,-H2 -O2,0,23,14,12,0,0,0,-2,-2,0,0,C23 H14 O12
C23 13C1 H16 O14,C1 H3 -O1 N1,0,24,19,13,1,0,1,3,-1,1,0,C24 H19 N1 O13
C23 13C1 H16 O14,H2 O1,1,23,18,15,0,0,0,2,1,0,0,C23 H18 O15
C23 13C1 H16 O14,-H2 -O1,0,23,14,13,0,0,0,-2,-1,0,0,C23 H14 O13
C21 13C1 H22 O17,-O1,0,21,22,16,0,0,0,0,-1,0,0,C21 H22 O16
C21 13C1 H22 O17,-H2 -O2,0,21,20,15,0,0,0,-2,-2,0,0,C21 H20 O15
C21 13C1 H22 O17,-H2 -O1,0,21,20,16,0,0,0,-2,-1,0,0,C21 H20 O16
C21 H19 N1 O13,O1,1,21,19,14,1,0,0,0,1,0,0,C21 H19 N1 O14
C21 H19 N1 O13,-O1,0,21,19,12,1,0,0,0,-1,0,0,C21 H19 N1 O12
C21 H19 N1 O13,H2 O2,1,21,21,15,1,0,0,2,2,0,0,C21 H21 N1 O15
C21 H19 N1 O13,-H2 -O2,0,21,17,11,1,0,0,-2,-2,0,0,C21 H17 N1 O11
C21 H19 N1 O13,-C1 -H3 O1 -N1,1,20,16,14,0,0,-1,-3,1,-1,0,C20 H16 O14
C21 H19 N1 O13,C1 H3 -O1 N1,0,22,22,12,2,0,1,3,-1,1,0,C22 H22 N2 O12
C21 H19 N1 O13,H2 O1,1,21,21,14,1,0,0,2,1,0,0,C21 H21 N1 O14
C21 H19 N1 O13,-H2 -O1,0,21,17,12,1,0,0,-2,-1,0,0,C21 H17 N1 O12
C21 H15 N1 O12,O1,1,21,15,13,1,0,0,0,1,0,0,C21 H15 N1 O13
C21 H15 N1 O12,-O1,0,21,15,11,1,0,0,0,-1,0,0,C21 H15 N1 O11
C21 H15 N1 O12,H2 O2,1,21,17,14,1,0,0,2,2,0,0,C21 H17 N1 O14
C21 H15 N1 O12,-C1 -H3 O1 -N1,1,20,12,13,0,0,-1,-3,1,-1,0,C20 H12 O13
C21 H15 N1 O12,C1 H3 -O1 N1,0,22,18,11,2,0,1,3,-1,1,0,C22 H18 N2 O11
C21 H15 N1 O12,H2 O1,1,21,17,13,1,0,0,2,1,0,0,C21 H17 N1 O13
C21 H15 N1 O12,-H2 -O1,0,21,13,11,1,0,0,-2,-1,0,0,C21 H13 N1 O11
C22 H11 N1 O14,O1,1,22,11,15,1,0,0,0,1,0,0,C22 H11 N1 O15
C22 H11 N1 O14,-O1,0,22,11,13,1,0,0,0,-1,0,0,C22 H11 N1 O13
C22 H11 N1 O14,H2 O2,1,22,13,16,1,0,0,2,2,0,0,C22 H13 N1 O16
C22 H11 N1 O14,-H2 -O2,0,22,9,12,1,0,0,-2,-2,0,0,C22 H9 N1 O12
C22 H11 N1 O14,-C1 -H3 O1 -N1,1,21,8,15,0,0,-1,-3,1,-1,0,C21 H8 O15
C22 H11 N1 O14,H2 O1,1,22,13,15,1,0,0,2,1,0,0,C22 H13 N1 O15
C22 H11 N1 O14,-H2 -O1,0,22,9,13,1,0,0,-2,-1,0,0,C22 H9 N1 O13
C31 13C1 H30 O23,O1,1,31,30,24,0,0,0,0,1,0,0,C31 H30 O24
C31 13C1 H30 O23,-O1,0,31,30,22,0,0,0,0,-1,0,0,C31 H30 O22
C31 13C1 H30 O23,-H2 -O2,0,31,28,21,0,0,0,-2,-2,0,0,C31 H28 O21
C31 13C1 H30 O23,-H2 -O1,0,31,28,22,0,0,0,-2,-1,0,0,C31 H28 O22
C19 13C1 H14 O17,-O1,0,19,14,16,0,0,0,0,-1,0,0,C19 H14 O16
C19 13C1 H14 O17,-H2 -O2,0,19,12,15,0,0,0,-2,-2,0,0,C19 H12 O15
C19 13C1 H14 O17,-H2 -O1,0,19,12,16,0,0,0,-2,-1,0,0,C19 H12 O16
C24 H15 N1 O15,O1,1,24,15,16,1,0,0,0,1,0,0,C24 H15 N1 O16
C24 H15 N1 O15,-O1,0,24,15,14,1,0,0,0,-1,0,0,C24 H15 N1 O14
C24 H15 N1 O15,H2 O2,1,24,17,17,1,0,0,2,2,0,0,C24 H17 N1 O17
C24 H15 N1 O15,-C1 -H3 O1 -N1,1,23,12,16,0,0,-1,-3,1,-1,0,C23 H12 O16
C24 H15 N1 O15,H2 O1,1,24,17,16,1,0,0,2,1,0,0,C24 H17 N1 O16
C14 H8 O8,O1,1,14,8,9,0,0,0,0,1,0,0,C14 H8 O9
C14 H8 O8,-O1,0,14,8,7,0,0,0,0,-1,0,0,C14 H8 O7
C14 H8 O8,H2 O2,1,14,10,10,0,0,0,2,2,0,0,C14 H10 O10
C14 H8 O8,-H2 -O2,0,14,6,6,0,0,0,-2,-2,0,0,C14 H6 O6
C14 H8 O8,C1 H3 -O1 N1,0,15,11,7,1,0,1,3,-1,1,0,C15 H11 N1 O7
C14 H8 O8,H2 O1,1,14,10,9,0,0,0,2,1,0,0,C14 H10 O9
C20 H16 N2 O18,O1,1,20,16,19,2,0,0,0,1,0,0,C20 H16 N2 O19
C20 H16 N2 O18,H2 O2,1,20,18,20,2,0,0,2,2,0,0,C20 H18 N2 O20
C20 H16 N2 O18,-C1 -H3 O1 -N1,1,19,13,19,1,0,-1,-3,1,-1,0,C19 H13 N1 O19
C20 H16 N2 O18,H2 O1,1,20,18,19,2,0,0,2,1,0,0,C20 H18 N2 O19
C19 H23 N1 O12,O1,1,19,23,13,1,0,0,0,1,0,0,C19 H23 N1 O13
C19 H23 N1 O12,-O1,0,19,23,11,1,0,0,0,-1,0,0,C19 H23 N1 O11
C19 H23 N1 O12,-H2 -O2,0,19,21,10,1,0,0,-2,-2,0,0,C19 H21 N1 O10
C19 H23 N1 O12,-C1 -H3 O1 -N1,1,18,20,13,0,0,-1,-3,1,-1,0,C18 H20 O13
C19 H23 N1 O12,-H2 -O1,0,19,21,11,1,0,0,-2,-1,0,0,C19 H21 N1 O11
C9 H9 N1 O6,O1,1,9,9,7,1,0,0,0,1,0,0,C9 H9 N1 O7
C9 H9 N1 O6,-O1,0,9,9,5,1,0,0,0,-1,0,0,C9 H9 N1 O5
C9 H9 N1 O6,-C1 -H3 O1 -N1,1,8,6,7,0,0,-1,-3,1,-1,0,C8 H6 O7
C9 H9 N1 O6,-H2 -O1,0,9,7,5,1,0,0,-2,-1,0,0,C9 H7 N1 O5
C30 H26 O22,O1,1,30,26,23,0,0,0,0,1,0,0,C30 H26 O23
C30 H26 O22,-O1,0,30,26,21,0,0,0,0,-1,0,0,C30 H26 O21
C30 H26 O22,-H2 -O2,0,30,24,20,0,0,0,-2,-2,0,0,C30 H24 O20
C30 H26 O22,H2 O1,1,30,28,23,0,0,0,2,1,0,0,C30 H28 O23
C30 H26 O22,-H2 -O1,0,30,24,21,0,0,0,-2,-1,0,0,C30 H24 O21
C19 H18 O16,-O1,0,19,18,15,0,0,0,0,-1,0,0,C19 H18 O15
C19 H18 O16,-H2 -O2,0,19,16,14,0,0,0,-2,-2,0,0,C19 H16 O14
C19 H18 O16,C1 H3 -O1 N1,0,20,21,15,1,0,1,3,-1,1,0,C20 H21 N1 O15
C19 H18 O16,-H2 -O1,0,19,16,15,0,0,0,-2,-1,0,0,C19 H16 O15
C27 H25 N1 O24,H2 O1,1,27,27,25,1,0,0,2,1,0,0,C27 H27 N1 O25
C26 H20 O17,O1,1,26,20,18,0,0,0,0,1,0,0,C26 H20 O18
C26 H20 O17,-O1,0,26,20,16,0,0,0,0,-1,0,0,C26 H20 O16
C26 H20 O17,H2 O2,1,26,22,19,0,0,0,2,2,0,0,C26 H22 O19
C26 H20 O17,-H2 -O2,0,26,18,15,0,0,0,-2,-2,0,0,C26 H18 O15
C26 H20 O17,C1 H3 -O1 N1,0,27,23,16,1,0,1,3,-1,1,0,C27 H23 N1 O16
C26 H20 O17,H2 O1,1,26,22,18,0,0,0,2,1,0,0,C26 H22 O18
C26 H20 O17,-H2 -O1,0,26,18,16,0,0,0,-2,-1,0,0,C26 H18 O16
C31 H30 O17,O1,1,31,30,18,0,0,0,0,1,0,0,C31 H30 O18
C31 H30 O17,H2 O2,1,31,32,19,0,0,0,2,2,0,0,C31 H32 O19
C31 H30 O17,H2 O1,1,31,32,18,0,0,0,2,1,0,0,C31 H32 O18
C26 H18 N2 O14 S1,-O1,0,26,18,13,2,1,0,0,-1,0,0,C26 H18 N2 O13 S1
C26 H18 N2 O14 S1,-C1 -H3 O1 -N1,1,25,15,15,1,1,-1,-3,1,-1,0,C25 H15 N1 O15 S1
C34 H71 N1 O8,-O1,0,34,71,7,1,0,0,0,-1,0,0,C34 H71 N1 O7
C27 H14 N2 O16,-O1,0,27,14,15,2,0,0,0,-1,0,0,C27 H14 N2 O15
C27 H14 N2 O16,-H2 -O1,0,27,12,15,2,0,0,-2,-1,0,0,C27 H12 N2 O15
C20 H10 O16,-O1,0,20,10,15,0,0,0,0,-1,0,0,C20 H10 O15
C20 H10 O16,C1 H3 -O1 N1,0,21,13,15,1,0,1,3,-1,1,0,C21 H13 N1 O15
C20 H10 O16,H2 O1,1,20,12,17,0,0,0,2,1,0,0,C20 H12 O17
C20 H10 O16,-H2 -O1,0,20,8,15,0,0,0,-2,-1,0,0,C20 H8 O15
C11 H8 O6,O1,1,11,8,7,0,0,0,0,1,0,0,C11 H8 O7
C11 H8 O6,-O1,0,11,8,5,0,0,0,0,-1,0,0,C11 H8 O5
C11 H8 O6,H2 O2,1,11,10,8,0,0,0,2,2,0,0,C11 H10 O8
C11 H8 O6,-H2 -O2,0,11,6,4,0,0,0,-2,-2,0,0,C11 H6 O4
C11 H8 O6,H2 O1,1,11,10,7,0,0,0,2,1,0,0,C11 H10 O7
C11 H8 O6,-H2 -O1,0,11,6,5,0,0,0,-2,-1,0,0,C11 H6 O5
C21 H18 N2 O19,O1,1,21,18,20,2,0,0,0,1,0,0,C21 H18 N2 O20
C21 H18 N2 O19,-O1,0,21,18,18,2,0,0,0,-1,0,0,C21 H18 N2 O18
C21 H18 N2 O19,-C1 -H3 O1 -N1,1,20,15,20,1,0,-1,-3,1,-1,0,C20 H15 N1 O20
C22 H20 O16,O1,1,22,20,17,0,0,0,0,1,0,0,C22 H20 O17
C22 H20 O16,-O1,0,22,20,15,0,0,0,0,-1,0,0,C22 H20 O15
C22 H20 O16,H2 O2,1,22,22,18,0,0,0,2,2,0,0,C22 H22 O18
C22 H20 O16,-H2 -O2,0,22,18,14,0,0,0,-2,-2,0,0,C22 H18 O14
C22 H20 O16,C1 H3 -O1 N1,0,23,23,15,1,0,1,3,-1,1,0,C23 H23 N1 O15
C22 H20 O16,H2 O1,1,22,22,17,0,0,0,2,1,0,0,C22 H22 O17
C22 H20 O16,-H2 -O1,0,22,18,15,0,0,0,-2,-1,0,0,C22 H18 O15
C22 H10 N2 O15,-O1,0,22,10,14,2,0,0,0,-1,0,0,C22 H10 N2 O14
C22 H10 N2 O15,-H2 -O2,0,22,8,13,2,0,0,-2,-2,0,0,C22 H8 N2 O13
C22 H10 N2 O15,-H2 -O1,0,22,8,14,2,0,0,-2,-1,0,0,C22 H8 N2 O14
C9 13C1 H8 O7,O1,1,9,8,8,0,0,0,0,1,0,0,C9 H8 O8
C9 13C1 H8 O7,-O1,0,9,8,6,0,0,0,0,-1,0,0,C9 H8 O6
C9 13C1 H8 O7,-H2 -O2,0,9,6,5,0,0,0,-2,-2,0,0,C9 H6 O5
C9 13C1 H8 O7,C1 H3 -O1 N1,0,10,11,6,1,0,1,3,-1,1,0,C10 H11 N1 O6
C9 13C1 H8 O7,H2 O1,1,9,10,8,0,0,0,2,1,0,0,C9 H10 O8
C17 H10 O12,O1,1,17,10,13,0,0,0,0,1,0,0,C17 H10 O13
C17 H10 O12,-O1,0,17,10,11,0,0,0,0,-1,0,0,C17 H10 O11
C17 H10 O12,H2 O2,1,17,12,14,0,0,0,2,2,0,0,C17 H12 O14
C17 H10 O12,-H2 -O2,0,17,8,10,0,0,0,-2,-2,0,0,C17 H8 O10
C17 H10 O12,C1 H3 -O1 N1,0,18,13,11,1,0,1,3,-1,1,0,C18 H13 N1 O11
C17 H10 O12,H2 O1,1,17,12,13,0,0,0,2,1,0,0,C17 H12 O13
C17 H10 O12,-H2 -O1,0,17,8,11,0,0,0,-2,-1,0,0,C17 H8 O11
C29 H25 N1 O22,H2 O1,1,29,27,23,1,0,0,2,1,0,0,C29 H27 N1 O23
C18 13C1 H10 O12,O1,1,18,10,13,0,0,0,0,1,0,0,C18 H10 O13
C18 13C1 H10 O12,-O1,0,18,10,11,0,0,0,0,-1,0,0,C18 H10 O11
C18 13C1 H10 O12,H2 O2,1,18,12,14,0,0,0,2,2,0,0,C18 H12 O14
C18 13C1 H10 O12,-H2 -O2,0,18,8,10,0,0,0,-2,-2,0,0,C18 H8 O10
C18 13C1 H10 O12,C1 H3 -O1 N1,0,19,13,11,1,0,1,3,-1,1,0,C19 H13 N1 O11
C18 13C1 H10 O12,H2 O1,1,18,12,13,0,0,0,2,1,0,0,C18 H12 O13
C18 13C1 H10 O12,-H2 -O1,0,18,8,11,0,0,0,-2,-1,0,0,C18 H8 O11
C21 H23 N1 O11,O1,1,21,23,12,1,0,0,0,1,0,0,C21 H23 N1 O12
C21 H23 N1 O11,H2 O2,1,21,25,13,1,0,0,2,2,0,0,C21 H25 N1 O13
C21 H23 N1 O11,-C1 -H3 O1 -N1,1,20,20,12,0,0,-1,-3,1,-1,0,C20 H20 O12
C21 H23 N1 O11,H2 O1,1,21,25,12,1,0,0,2,1,0,0,C21 H25 N1 O12
C21 H23 N1 O11,-H2 -O1,0,21,21,10,1,0,0,-2,-1,0,0,C21 H21 N1 O10
C25 H24 O20,-O1,0,25,24,19,0,0,0,0,-1,0,0,C25 H24 O19
C25 H24 O20,-H2 -O2,0,25,22,18,0,0,0,-2,-2,0,0,C25 H22 O18
C25 H24 O20,-H2 -O1,0,25,22,19,0,0,0,-2,-1,0,0,C25 H22 O19
C25 H28 O19,-O1,0,25,28,18,0,0,0,0,-1,0,0,C25 H28 O18
C25 H28 O19,-H2 -O2,0,25,26,17,0,0,0,-2,-2,0,0,C25 H26 O17
C25 H28 O19,-H2 -O1,0,25,26,18,0,0,0,-2,-1,0,0,C25 H26 O18
C16 H12 O9,O1,1,16,12,10,0,0,0,0,1,0,0,C16 H12 O10
C16 H12 O9,-O1,0,16,12,8,0,0,0,0,-1,0,0,C16 H12 O8
C16 H12 O9,H2 O2,1,16,14,11,0,0,0,2,2,0,0,C16 H14 O11
