formula_string,C,H,O,N,S
C17 13C1 H20 O14,17,20,14,0,0
C26 H30 O14,26,30,14,0,0
C33 13C1 H28 O23,33,28,23,0,0
C26 H14 N2 O16,26,14,16,2,0
C19 H19 N1 O14 S1 34S1,19,19,14,1,1
C14 H18 O10,14,18,10,0,0
C47 H77 N1 O5 S1,47,77,5,1,1
C10 13C1 H8 O9,10,8,9,0,0
C46 H75 N1,46,75,0,1,0
C28 H23 N1 O25,28,23,25,1,0
C24 13C1 H14 O18,24,14,18,0,0
C23 H22 O12 S1,23,22,12,0,1
C29 H26 O16,29,26,16,0,0
C17 H11 N1 O12,17,11,12,1,0
C43 13C1 H74 O1,43,74,1,0,0
C11 H10 O2,11,10,2,0,0
C15 H13 N1 O9,15,13,9,1,0
C21 13C1 H16 O15,21,16,15,0,0
C10 13C1 H8 O7,10,8,7,0,0
C16 H15 N1 O11,16,15,11,1,0
C27 13C1 H20 O18,27,20,18,0,0
C21 13C1 H20 O12,21,20,12,0,0
C27 H18 O20,27,18,20,0,0
C35 H32 O22,35,32,22,0,0
C31 H30 O19,31,30,19,0,0
C18 H24 O12,18,24,12,0,0
C25 H24 O14 S1,25,24,14,0,1
C9 H16 N2 O9 S1 34S1,9,16,9,2,1
C19 H22 O13,19,22,13,0,0
C26 H20 O18,26,20,18,0,0
C15 H16 O10,15,16,10,0,0
C33 H68 N2 O1,33,68,1,2,0
C26 H16 O12 S1 34S1,26,16,12,0,1
C35 H34 O21,35,34,21,0,0
C22 H20 N2 O22 S1,22,20,22,2,1
C30 H16 O20,30,16,20,0,0
C23 H25 N1 O21 S1,23,25,21,1,1
C23 H22 O18,23,22,18,0,0
C23 H18 O19,23,18,19,0,0
C23 H14 O16 S1,23,14,16,0,1
C26 H18 N2 O15 S1 34S1,26,18,15,2,1
C26 H23 N1 O16,26,23,16,1,0
C34 H32 N2 O30,34,32,30,2,0
C24 H23 N1 O16,24,23,16,1,0
C22 13C1 H20 O13,22,20,13,0,0
C25 H26 O13,25,26,13,0,0
C13 H18 O9,13,18,9,0,0
C14 H16 O12,14,16,12,0,0
C21 H28 O14,21,28,14,0,0
C31 H30 O18,31,30,18,0,0
C21 H22 O13,21,22,13,0,0
C15 H10 O9,15,10,9,0,0
C35 H66 N2 O2,35,66,2,2,0
C25 H20 O20,25,20,20,0,0
C24 H9 N1 O17,24,9,17,1,0
C19 H17 N1 O9,19,17,9,1,0
C17 H12 O3 S1,17,12,3,0,1
C20 H13 N1 O15,20,13,15,1,0
C27 H13 N1 O18,27,13,18,1,0
C22 H21 N1 O18 34S1,22,21,18,1,0
C44 H82 O5 S1,44,82,5,0,1
C29 H25 N1 O18,29,25,18,1,0
C20 H10 O14,20,10,14,0,0
C25 H23 N1 O17,25,23,17,1,0
C36 H75 N1 O9,36,75,9,1,0
C31 H22 O20,31,22,20,0,0
C24 H14 O16,24,14,16,0,0
C26 13C1 H22 N2 O17 S1,26,22,17,2,1
C22 13C1 H20 O16,22,20,16,0,0
C17 H10 O3 S1,17,10,3,0,1
C28 H24 O22,28,24,22,0,0
C30 13C1 H28 O21,30,28,21,0,0
C25 H14 N2 O13 34S1,25,14,13,2,0
C24 H20 O19,24,20,19,0,0
C31 H22 O15 S1 34S1,31,22,15,0,1
C30 H20 O18 S1,30,20,18,0,1
C14 H16 O7,14,16,7,0,0
C12 13C1 H16 O8,12,16,8,0,0
C31 H24 O20,31,24,20,0,0
C22 H15 N1 O16,22,15,16,1,0
C41 H72 O2,41,72,2,0,0
C24 H22 N2 O20 34S1,24,22,20,2,0
C27 H20 N2 O18 S1,27,20,18,2,1
C9 H6 O3,9,6,3,0,0
C31 13C1 H30 O20,31,30,20,0,0
C28 H34 N2 O23 S1,28,34,23,2,1
C36 H30 O21,36,30,21,0,0
C28 H22 O16,28,22,16,0,0
C21 H14 N2 O20 S1,21,14,20,2,1
C33 13C1 H28 O21,33,28,21,0,0
C25 H24 N2 O23 S1,25,24,23,2,1
C33 H20 O21,33,20,21,0,0
C13 H15 N1 O7,13,15,7,1,0
C16 13C1 H12 O14,16,12,14,0,0
C29 H24 O16,29,24,16,0,0
C18 13C1 H14 O11,18,14,11,0,0
C20 H18 O10,20,18,10,0,0
C22 H21 N1 O20 S1,22,21,20,1,1
C14 H9 N1 O8,14,9,8,1,0
C19 H14 O17,19,14,17,0,0
C13 13C1 H14 O10,13,14,10,0,0
C15 H19 N1 O9,15,19,9,1,0
C40 H78 N2 O6,40,78,6,2,0
C21 H13 N1 O12,21,13,12,1,0
C15 H11 N1 O9,15,11,9,1,0
C13 H10 O10,13,10,10,0,0
C18 13C1 H16 O10,18,16,10,0,0
C18 13C1 H18 O11,18,18,11,0,0
C25 H15 N1 O15,25,15,15,1,0
C18 H13 N1 O11 S1,18,13,11,1,1
C26 13C1 H16 O18,26,16,18,0,0
C26 H17 N1 O19 S1,26,17,19,1,1
C35 H23 N1 O20,35,23,20,1,0
C15 H9 N1 O8,15,9,8,1,0
C20 13C1 H18 O17,20,18,17,0,0
C31 H22 N2 O19,31,22,19,2,0
C14 H9 N1 O10,14,9,10,1,0
C20 H18 N2 O11,20,18,11,2,0
C15 H16 O13,15,16,13,0,0
C23 H22 O15,23,22,15,0,0
C28 H25 N1 O20 S1,28,25,20,1,1
C15 H17 N1 O13 S1 34S1,15,17,13,1,1
C25 H17 N1 O14,25,17,14,1,0
C11 H14 O13 S1,11,14,13,0,1
C23 H21 N1 O13,23,21,13,1,0
C17 H24 O12,17,24,12,0,0
C20 H14 O11 S1,20,14,11,0,1
C24 H30 N2 O20 S1,24,30,20,2,1
C32 H26 O18,32,26,18,0,0
C17 13C1 H16 O11,17,16,11,0,0
C12 13C1 H8 O11,12,8,11,0,0
C31 13C1 H26 O24,31,26,24,0,0
C16 H10 O14,16,10,14,0,0
C18 H16 O17 S1,18,16,17,0,1
C25 H21 N1 O16,25,21,16,1,0
C25 H10 N2 O15,25,10,15,2,0
C15 13C1 H12 O10,15,12,10,0,0
C13 H8 O6,13,8,6,0,0
C18 13C1 H10 O14,18,10,14,0,0
C17 H9 N1 O12,17,9,12,1,0
C28 13C1 H28 O19,28,28,19,0,0
C15 13C1 H14 O10,15,14,10,0,0
C13 H12 O7,13,12,7,0,0
C27 H12 O19,27,12,19,0,0
C37 H30 O26,37,30,26,0,0
C24 H24 N2 O15,24,24,15,2,0
C9 H14 O7,9,14,7,0,0
C28 H32 O18,28,32,18,0,0
C25 H18 O17,25,18,17,0,0
C24 H19 N1 O14,24,19,14,1,0
C20 13C1 H14 O15,20,14,15,0,0
C42 H78 N2 O6,42,78,6,2,0
C7 H6 O5,7,6,5,0,0
C15 H20 O7,15,20,7,0,0
C16 H11 N1 O6 S1,16,11,6,1,1
C13 H12 O6,13,12,6,0,0
C32 H20 N2 O19,32,20,19,2,0
C26 H22 N2 O23 S1,26,22,23,2,1
C21 H28 O13,21,28,13,0,0
C6 H6 O5,6,6,5,0,0
C22 H26 O15,22,26,15,0,0
C25 H12 O16,25,12,16,0,0
C31 H19 N1 O19 S1,31,19,19,1,1
C42 H76 O4 S1,42,76,4,0,1
C39 H77 N1 O9,39,77,9,1,0
C20 H20 O14,20,20,14,0,0
C24 H23 N1 O18,24,23,18,1,0
C36 H32 O23,36,32,23,0,0
C28 H26 O17,28,26,17,0,0
C19 H17 N1 O20 S1,19,17,20,1,1
C22 H17 N1 O12,22,17,12,1,0
C20 H16 O10,20,16,10,0,0
C26 H32 O15,26,32,15,0,0
C30 H18 O21 34S1,30,18,21,0,0
C13 H16 O9,13,16,9,0,0
C24 13C1 H20 O20,24,20,20,0,0
C22 H15 N1 O16 S1,22,15,16,1,1
C24 H12 O9 S1,24,12,9,0,1
C14 13C1 H16 O9,14,16,9,0,0
C23 13C1 H14 O19,23,14,19,0,0
C27 13C1 H26 O21,27,26,21,0,0
C22 H15 N1 O15,22,15,15,1,0
C29 H16 O18,29,16,18,0,0
C22 H20 N2 O13,22,20,13,2,0
C23 H30 O13,23,30,13,0,0
C27 H32 O14 S1,27,32,14,0,1
C21 H17 N1 O11,21,17,11,1,0
C26 H26 O19,26,26,19,0,0
C18 H22 O8,18,22,8,0,0
C29 13C1 H24 O18,29,24,18,0,0
C19 H10 O14,19,10,14,0,0
C40 H73 N1 O1 S1,40,73,1,1,1
C21 13C1 H24 N2 O22 S1,21,24,22,2,1
C29 13C1 H20 O20,29,20,20,0,0
C14 H12 O9,14,12,9,0,0
C17 H13 N1 O9,17,13,9,1,0
C17 13C1 H14 O12,17,14,12,0,0
C44 H74 O1,44,74,1,0,0
C30 13C1 H22 O22,30,22,22,0,0
C32 H24 O22,32,24,22,0,0
C28 H14 O20,28,14,20,0,0
C30 H28 N2 O26 S1,30,28,26,2,1
C28 13C1 H16 O20,28,16,20,0,0
C31 H26 O19,31,26,19,0,0
C29 H28 O21,29,28,21,0,0
C47 H75 N1 O4,47,75,4,1,0
C16 H16 O13,16,16,13,0,0
C21 13C1 H18 O15,21,18,15,0,0
C29 H24 O17,29,24,17,0,0
C20 13C1 H14 O17,20,14,17,0,0
C32 H30 N2 O23,32,30,23,2,0
C15 H14 O9,15,14,9,0,0
C24 H22 O15,24,22,15,0,0
C28 H12 N2 O15,28,12,15,2,0
C41 H74 N2 O6,41,74,6,2,0
C11 H16 O7,11,16,7,0,0
C16 H20 N2 O9,16,20,9,2,0
C19 H19 N1 O13,19,19,13,1,0
C26 H23 N1 O19 S1,26,23,19,1,1
C22 H11 N1 O15,22,11,15,1,0
C21 H24 O12,21,24,12,0,0
C25 H30 O16,25,30,16,0,0
C22 H13 N1 O16,22,13,16,1,0
C22 H22 N2 O23 S1,22,22,23,2,1
C30 H18 O21,30,18,21,0,0
C19 H22 O16,19,22,16,0,0
C19 13C1 H22 O14,19,22,14,0,0
C22 H18 N2 O19,22,18,19,2,0
C26 H22 O20,26,22,20,0,0
C34 H20 O23,34,20,23,0,0
C21 H14 O11 S1,21,14,11,0,1
C24 H22 O16,24,22,16,0,0
C18 H20 O10,18,20,10,0,0
C23 13C1 H22 O13,23,22,13,0,0
C43 H80 N2 O6 S1,43,80,6,2,1
C24 H18 O13,24,18,13,0,0
C15 13C1 H14 O11,15,14,11,0,0
C30 13C1 H20 O20,30,20,20,0,0
C16 13C1 H12 O15,16,12,15,0,0
C30 H28 O19,30,28,19,0,0
C22 13C1 H22 O12,22,22,12,0,0
C36 H72 N2 S1,36,72,0,2,1
C44 H80 O5 S1,44,80,5,0,1
C7 H4 O7,7,4,7,0,0
C17 H13 N1 O10,17,13,10,1,0
C12 H8 O10,12,8,10,0,0
C23 H28 O15,23,28,15,0,0
C34 H27 N1 O23,34,27,23,1,0
C28 H19 N1 O21,28,19,21,1,0
C9 H10 O8,9,10,8,0,0
C33 H24 O18,33,24,18,0,0
C25 H21 N1 O15,25,21,15,1,0
C30 H18 O20,30,18,20,0,0
C13 H14 O14 S1,13,14,14,0,1
C9 H8 O8,9,8,8,0,0
C34 H28 O20,34,28,20,0,0
C13 H9 N1 O7,13,9,7,1,0
C18 H16 O17 34S1,18,16,17,0,0
C30 H20 O21,30,20,21,0,0
C7 H6 O6 S1,7,6,6,0,1
C12 H9 N1 O7,12,9,7,1,0
C16 13C1 H11 N1 O13 S1,16,11,13,1,1
C35 H74 N2,35,74,0,2,0
C16 H14 N2 O8,16,14,8,2,0
C33 H28 O21,33,28,21,0,0
C32 H28 O20,32,28,20,0,0
C36 H32 O22,36,32,22,0,0
C18 H18 O13,18,18,13,0,0
C21 13C1 H16 N2 O19,21,16,19,2,0
C23 H19 N1 O17 S1,23,19,17,1,1
C29 H24 N2 O11 S1,29,24,11,2,1
C13 H15 N1 O9,13,15,9,1,0
C18 H16 O10,18,16,10,0,0
C25 H28 O16,25,28,16,0,0
C22 H20 N2 O23 S1,22,20,23,2,1
C30 H16 O21,30,16,21,0,0
C13 H14 O13 S1,13,14,13,0,1
C29 H20 N2 O17,29,20,17,2,0
C19 H14 O16,19,14,16,0,0
C25 13C1 H30 N2 O23 S1,25,30,23,2,1
C24 13C1 H24 O16,24,24,16,0,0
C26 H18 O15,26,18,15,0,0
C18 H16 N2 O10,18,16,10,2,0
C8 13C1 H12 O6,8,12,6,0,0
C20 H18 N2 O23 S1,20,18,23,2,1
C28 H14 O21,28,14,21,0,0
C22 H8 O15,22,8,15,0,0
C35 H30 O26,35,30,26,0,0
C21 H21 N1 O14,21,21,14,1,0
C34 H29 N1 O18 S1 34S1,34,29,18,1,1
C40 13C1 H72 O2,40,72,2,0,0
C39 H78 N2 S1 34S1,39,78,0,2,1
C13 H15 N1 O10,13,15,10,1,0
C16 H12 O16 S1,16,12,16,0,1
C20 H10 O12,20,10,12,0,0
C21 H16 O12,21,16,12,0,0
C29 13C1 H20 O21,29,20,21,0,0
C35 H30 O24,35,30,24,0,0
C44 H80 O2 S1,44,80,2,0,1
C11 H12 O7,11,12,7,0,0
C19 13C1 H18 N2 O18,19,18,18,2,0
C15 H13 N1 O11,15,13,11,1,0
C22 H28 O12,22,28,12,0,0
C21 H15 N1 O10 S1,21,15,10,1,1
C10 H11 N1 O6,10,11,6,1,0
C19 13C1 H24 O11,19,24,11,0,0
C35 H26 O21 S1,35,26,21,0,1
C13 H12 O11,13,12,11,0,0
C25 13C1 H30 O17,25,30,17,0,0
C44 H80 O5 34S1,44,80,5,0,0
C31 H26 O18 S1,31,26,18,0,1
C31 H34 O21,31,34,21,0,0
C18 H13 N1 O20,18,13,20,1,0
C33 H32 O21,33,32,21,0,0
C30 13C1 H24 O21,30,24,21,0,0
C28 H28 O19,28,28,19,0,0
C23 H16 O19,23,16,19,0,0
C28 H18 O22,28,18,22,0,0
C23 H14 N2 O21,23,14,21,2,0
C30 13C1 H30 O22,30,30,22,0,0
C42 H73 N1 O5,42,73,5,1,0
C17 H17 N1 O12,17,17,12,1,0
C15 H12 O8,15,12,8,0,0
C31 H30 O24,31,30,24,0,0
C23 H18 O16,23,18,16,0,0
C23 H18 O18,23,18,18,0,0
C28 H22 O10 S1 34S1,28,22,10,0,1
C18 H20 N2 O20,18,20,20,2,0
C25 13C1 H20 O21,25,20,21,0,0
C28 H28 O17,28,28,17,0,0
C22 H20 O12 S1,22,20,12,0,1
C33 H32 O19,33,32,19,0,0
C39 H73 N1 O4,39,73,4,1,0
C41 H78 O6 S1,41,78,6,0,1
C13 H10 O2,13,10,2,0,0
C11 H6 O10,11,6,10,0,0
C19 13C1 H14 O16,19,14,16,0,0
C28 H23 N1 O20 S1,28,23,20,1,1
C25 H24 O16,25,24,16,0,0
C29 13C1 H28 O22,29,28,22,0,0
C21 H23 N1 O17 34S1,21,23,17,1,0
C28 H21 N1 O21,28,21,21,1,0
C9 H6 O10,9,6,10,0,0
C27 H21 N1 O23,27,21,23,1,0
C29 H28 O23,29,28,23,0,0
C25 H24 N2 O25 S1,25,24,25,2,1
C33 H20 O23,33,20,23,0,0
C31 13C1 H26 O23,31,26,23,0,0
C18 H24 O13,18,24,13,0,0
C23 H15 N1 O16,23,15,16,1,0
C20 H22 N2 O12,20,22,12,2,0
C34 H34 O21,34,34,21,0,0
C25 13C1 H21 N1 O23 S1,25,21,23,1,1
C37 H28 O25,37,28,25,0,0
C21 H28 N2 O17 S1,21,28,17,2,1
C29 H24 O15,29,24,15,0,0
C21 H18 O10 S1,21,18,10,0,1
C35 H34 O23,35,34,23,0,0
C25 H11 N1 O15 S1,25,11,15,1,1
C40 H74 O5,40,74,5,0,0
C9 13C1 H14 O6,9,14,6,0,0
C39 13C1 H80 O3 S1,39,80,3,0,1
C29 H26 O18,29,26,18,0,0
C25 H20 O16,25,20,16,0,0
C22 H14 O6 S1,22,14,6,0,1
C23 H21 N1 O16,23,21,16,1,0
C12 H10 O13 S1,12,10,13,0,1
C13 H17 N1 O6,13,17,6,1,0
C20 H24 O14,20,24,14,0,0
C8 H7 N1 O6,8,7,6,1,0
C23 13C1 H24 O15,23,24,15,0,0
C26 H24 O13,26,24,13,0,0
C18 H17 N1 O13,18,17,13,1,0
C12 13C1 H14 O10,12,14,10,0,0
C37 H70 N2 O3,37,70,3,2,0
C21 13C1 H26 O12,21,26,12,0,0
C14 H9 N1 O7,14,9,7,1,0
C26 13C1 H20 O17,26,20,17,0,0
C25 H26 O19,25,26,19,0,0
C27 H18 O18,27,18,18,0,0
C21 H15 N1 O19,21,15,19,1,0
C10 H10 O8 S1,10,10,8,0,1
C35 H73 N1 O2,35,73,2,1,0
C24 H15 N1 O16,24,15,16,1,0
C13 H13 N1 O6,13,13,6,1,0
C18 H18 O20 S1,18,18,20,0,1
C19 H18 O14,19,18,14,0,0
C33 H22 N2 O19 S1,33,22,19,2,1
C23 13C1 H26 O15,23,26,15,0,0
C21 H11 N1 O15,21,11,15,1,0
C29 H19 N1 O18 S1,29,19,18,1,1
C21 H23 N1 O20 S1,21,23,20,1,1
C12 H8 O2,12,8,2,0,0
C14 H16 O11,14,16,11,0,0
C42 H76 N2 O4,42,76,4,2,0
C29 H17 N1 O17,29,17,17,1,0
C28 H20 O22,28,20,22,0,0
C27 H18 O17,27,18,17,0,0
C24 13C1 H14 O17,24,14,17,0,0
C23 H23 N1 O16,23,23,16,1,0
C19 H16 N2 O18,19,16,18,2,0
C27 13C1 H28 O20,27,28,20,0,0
C25 H22 N2 O25 S1,25,22,25,2,1
C33 H18 O23,33,18,23,0,0
C24 H22 O14,24,22,14,0,0
C15 H18 O11,15,18,11,0,0
C21 H13 N1 O14 34S1,21,13,14,1,0
C22 13C1 H8 N2 O14,22,8,14,2,0
C23 H18 O13 S1,23,18,13,0,1
C21 13C1 H12 O17,21,12,17,0,0
C29 H20 O21,29,20,21,0,0
C32 H20 O24,32,20,24,0,0
C21 13C1 H14 O13,21,14,13,0,0
C17 13C1 H22 O11,17,22,11,0,0
C21 H22 N2 O12,21,22,12,2,0
C41 H74 O2 S1,41,74,2,0,1
C13 H10 O11 34S1,13,10,11,0,0
C25 H21 N1 O23,25,21,23,1,0
C17 H12 O4 S1,17,12,4,0,1
C28 13C1 H24 O25,28,24,25,0,0
C30 H25 N1 O25,30,25,25,1,0
C21 H20 O10,21,20,10,0,0
C18 H11 N1 O13,18,11,13,1,0
C14 H16 O8,14,16,8,0,0
C22 H16 O13,22,16,13,0,0
C19 H14 O3 S1,19,14,3,0,1
C28 H30 O17,28,30,17,0,0
C10 H14 O8,10,14,8,0,0
C19 H18 N2 O17,19,18,17,2,0
C16 13C1 H14 O9,16,14,9,0,0
C15 H15 N1 O10,15,15,10,1,0
C27 H16 O19,27,16,19,0,0
C12 13C1 H12 O10,12,12,10,0,0
C31 H24 N2 O17,31,24,17,2,0
C22 H15 N1 O12,22,15,12,1,0
C19 13C1 H24 O12,19,24,12,0,0
C28 H23 N1 O21 S1,28,23,21,1,1
C18 H18 N2 O18,18,18,18,2,0
C26 13C1 H18 O21,26,18,21,0,0
C27 H19 N1 O10 S1 34S1,27,19,10,1,1
C13 H10 O12,13,10,12,0,0
C29 H21 N1 O14 S1,29,21,14,1,1
C29 H23 N1 O24,29,23,24,1,0
C16 H18 O9,16,18,9,0,0
C23 H22 O11,23,22,11,0,0
C36 H32 O25,36,32,25,0,0
C24 H16 O13 S1,24,16,13,0,1
C21 H25 N1 O14,21,25,14,1,0
C12 H8 O9,12,8,9,0,0
C19 H16 O18 S1,19,16,18,0,1
C11 13C1 H10 O9,11,10,9,0,0
C21 H16 O14,21,16,14,0,0
C23 H22 N2 O23 S1,23,22,23,2,1
C31 H18 O21,31,18,21,0,0
C40 H72 O5,40,72,5,0,0
C35 H72 O9,35,72,9,0,0
C13 H14 O5,13,14,5,0,0
C24 H14 N2 O12 S1,24,14,12,2,1
C22 13C1 H10 O15,22,10,15,0,0
C20 H10 N2 O14 S1,20,10,14,2,1
C30 H24 O22,30,24,22,0,0
C37 H34 O24,37,34,24,0,0
C31 H32 O22,31,32,22,0,0
C24 13C1 H26 O17,24,26,17,0,0
C25 13C1 H22 O17,25,22,17,0,0
C15 13C1 H18 O10,15,18,10,0,0
C32 H32 O23,32,32,23,0,0
C19 H14 O10,19,14,10,0,0
C17 H18 N2 O11,17,18,11,2,0
C16 H14 O18 S1,16,14,18,0,1
C34 H68 O3,34,68,3,0,0
C30 H14 N2 O17,30,14,17,2,0
C27 H18 N2 O23 S1,27,18,23,2,1
C18 H12 O10 S1,18,12,10,0,1
C18 13C1 H20 O12,18,20,12,0,0
C12 13C1 H12 O7,12,12,7,0,0
C38 H28 O26,38,28,26,0,0
C11 13C1 H16 O7,11,16,7,0,0
C23 13C1 H12 O18,23,12,18,0,0
C34 13C1 H24 O23,34,24,23,0,0
C32 H19 N1 O20 S1,32,19,20,1,1
C42 H80 O5 S1,42,80,5,0,1
C30 H24 O19,30,24,19,0,0
C28 13C1 H24 O20,28,24,20,0,0
C14 13C1 H18 O9,14,18,9,0,0
C17 H14 O13,17,14,13,0,0
C29 H22 O20,29,22,20,0,0
C10 H6 N2 O6,10,6,6,2,0
C37 H32 O24,37,32,24,0,0
C13 H20 O7,13,20,7,0,0
C16 H20 O13,16,20,13,0,0
C23 H16 O17,23,16,17,0,0
C26 13C1 H32 O14 S1,26,32,14,0,1
C24 H24 O19,24,24,19,0,0
C32 H20 O20 S1,32,20,20,0,1
C15 H10 O8,15,10,8,0,0
C22 H9 N1 O13,22,9,13,1,0
C16 H17 N1 O8,16,17,8,1,0
C25 H30 O15,25,30,15,0,0
C32 13C1 H30 O23,32,30,23,0,0
C25 H30 N2 O22 S1,25,30,22,2,1
C33 H26 O20,33,26,20,0,0
C16 H11 N1 O10,16,11,10,1,0
C29 H21 N1 O18 S1,29,21,18,1,1
C27 13C1 H26 O16,27,26,16,0,0
C21 H20 O11,21,20,11,0,0
C20 H19 N1 O18 34S1,20,19,18,1,0
C21 H16 N2 O16 S1,21,16,16,2,1
C27 H30 O18,27,30,18,0,0
C19 H26 O14,19,26,14,0,0
C12 H10 O6,12,10,6,0,0
C21 13C1 H20 O18,21,20,18,0,0
C23 H13 N1 O16,23,13,16,1,0
C19 13C1 H15 N1 O21,19,15,21,1,0
C26 H25 N1 O25,26,25,25,1,0
C36 H71 N1 O5,36,71,5,1,0
C30 H13 N1 O16,30,13,16,1,0
C7 H5 N1 O5,7,5,5,1,0
C30 H18 O21 S1,30,18,21,0,1
C26 H8 N2 O14 S1,26,8,14,2,1
C38 H75 N1 O7,38,75,7,1,0
C24 H14 O9 S1 34S1,24,14,9,0,1
C22 H25 N1 O18 S1,22,25,18,1,1
C28 H14 O18,28,14,18,0,0
C9 H11 N1 O5,9,11,5,1,0
C20 13C1 H22 O15,20,22,15,0,0
C25 H26 O15,25,26,15,0,0
C25 H17 N1 O21 S1,25,17,21,1,1
C13 13C1 H14 O11,13,14,11,0,0
C22 H13 N1 O15,22,13,15,1,0
C42 13C1 H72 O1,42,72,1,0,0
C29 H24 O23,29,24,23,0,0
C17 H16 O8,17,16,8,0,0
C25 13C1 H14 O16,25,14,16,0,0
C18 H17 N1 O20,18,17,20,1,0
C23 13C1 H20 O16,23,20,16,0,0
C23 H20 N2 O20,23,20,20,2,0
C21 H14 O17,21,14,17,0,0
C31 H24 N2 O18 S1,31,24,18,2,1
C32 H21 N1 O22,32,21,22,1,0
C15 H19 N1 O10,15,19,10,1,0
C19 H13 N1 O10,19,13,10,1,0
C26 H20 O19,26,20,19,0,0
C22 13C1 H24 O17,22,24,17,0,0
C22 13C1 H18 O15,22,18,15,0,0
C19 H12 O9 S1,19,12,9,0,1
C19 H19 N1 O12,19,19,12,1,0
C47 H74 O4,47,74,4,0,0
C23 H13 N1 O12 S1,23,13,12,1,1
C17 13C1 H16 O12,17,16,12,0,0
C17 H18 N2 O10,17,18,10,2,0
C23 H22 N2 O20 34S1,23,22,20,2,0
C17 13C1 H8 O13,17,8,13,0,0
C29 H21 N1 O17 S1,29,21,17,1,1
C26 13C1 H24 O21,26,24,21,0,0
C9 H4 O5,9,4,5,0,0
C15 H22 O7,15,22,7,0,0
C17 H12 O10,17,12,10,0,0
C22 H26 O13,22,26,13,0,0
C30 13C1 H24 O23,30,24,23,0,0
C12 H18 O8,12,18,8,0,0
C10 H10 O3,10,10,3,0,0
C20 H17 N1 O11,20,17,11,1,0
C26 H30 O16,26,30,16,0,0
C18 H12 O14 S1,18,12,14,0,1
C22 H17 N1 O21 S1,22,17,21,1,1
C37 H32 O25,37,32,25,0,0
C13 H11 N1 O9,13,11,9,1,0
C31 H28 O18,31,28,18,0,0
C16 H20 O7,16,20,7,0,0
C25 H14 N2 O13 S1,25,14,13,2,1
C26 13C1 H28 O21 S1 34S1,26,28,21,0,1
C45 H79 N1 O3 S1,45,79,3,1,1
C30 13C1 H20 O21,30,20,21,0,0
C18 H6 O12,18,6,12,0,0
C26 H19 N1 O15 S1,26,19,15,1,1
C21 H19 N1 O14,21,19,14,1,0
C29 H15 N1 O18,29,15,18,1,0
C24 H20 O17,24,20,17,0,0
C16 H16 O10,16,16,10,0,0
C9 H4 O6,9,4,6,0,0
C17 13C1 H10 O14,17,10,14,0,0
C27 13C1 H24 O17,27,24,17,0,0
C10 H10 O5,10,10,5,0,0
C22 13C1 H18 O18,22,18,18,0,0
C35 H32 O24,35,32,24,0,0
C23 H24 N2 O15,23,24,15,2,0
C12 H12 O11,12,12,11,0,0
C22 H17 N1 O18 S1,22,17,18,1,1
C22 H24 O15,22,24,15,0,0
C28 H20 O21,28,20,21,0,0
C19 13C1 H22 O16,19,22,16,0,0
C30 H14 N2 O22,30,14,22,2,0
C27 H22 N2 O17 S1,27,22,17,2,1
C16 13C1 H16 O9,16,16,9,0,0
C23 H18 O14,23,18,14,0,0
C21 H8 N2 O11,21,8,11,2,0
C29 H23 N1 O20 S1,29,23,20,1,1
C33 H30 O19,33,30,19,0,0
C23 H13 N1 O22,23,13,22,1,0
C39 H30 O27,39,30,27,0,0
C13 H17 N1 O9,13,17,9,1,0
C27 H22 O22,27,22,22,0,0
C8 H4 O8 S1,8,4,8,0,1
C13 13C1 H16 O7,13,16,7,0,0
C18 H21 N1 O13,18,21,13,1,0
C21 H10 O13,21,10,13,0,0
C19 H15 N1 O14,19,15,14,1,0
C40 H81 N1 O4 S1,40,81,4,1,1
C20 H12 O16,20,12,16,0,0
C24 H16 O20,24,16,20,0,0
C28 H28 O18,28,28,18,0,0
C28 13C1 H24 O21,28,24,21,0,0
C26 H19 N1 O9 S1 34S1,26,19,9,1,1
C15 13C1 H12 O9,15,12,9,0,0
C32 H34 O21,32,34,21,0,0
C17 H11 N1 O9,17,11,9,1,0
C36 H71 N1 O8,36,71,8,1,0
C34 H34 O24,34,34,24,0,0
C25 13C1 H28 O15,25,28,15,0,0
C29 H12 N2 O18,29,12,18,2,0
C34 H25 N1 O19 S1,34,25,19,1,1
C19 13C1 H14 O13,19,14,13,0,0
C36 H72 O2,36,72,2,0,0
C37 H68 N2 S1,37,68,0,2,1
C27 H23 N1 O16 S1,27,23,16,1,1
C16 13C1 H14 O14,16,14,14,0,0
C19 H23 N1 O16 S1,19,23,16,1,1
C24 13C1 H20 O14,24,20,14,0,0
C28 H19 N1 O17,28,19,17,1,0
C14 H8 O1 S1,14,8,1,0,1
C19 H21 N1 O10,19,21,10,1,0
C21 H15 N1 O22,21,15,22,1,0
C31 13C1 H22 O19,31,22,19,0,0
C30 H26 N2 O22 S1,30,26,22,2,1
C24 H15 N1 O15 S1,24,15,15,1,1
C31 H26 O17,31,26,17,0,0
C20 13C1 H20 O11,20,20,11,0,0
C28 13C1 H20 O19,28,20,19,0,0
C15 13C1 H10 O13,15,10,13,0,0
C37 H71 N1 O1,37,71,1,1,0
C19 H24 O15,19,24,15,0,0
C29 H30 N2 O24 S1,29,30,24,2,1
C37 H26 O22,37,26,22,0,0
C12 H16 O7,12,16,7,0,0
C24 H20 N2 O21 S1,24,20,21,2,1
