mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C10 H10 N2 O3,3.54e-05,2,1.113,C9 H8 N2 O3,3.22e-05,3,0.0,-C1 -H2,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H8 N2 O2,2.34e-05,3,0.0,-H2 -O1,0
C10 H10 N2 O3,3.54e-05,2,1.113,C9 H10 N2 O3,1.88e-05,3,0.0,-C1,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H8 N2 O3,3.36e-05,3,0.806,-H2,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H6 N2 O5,2.86e-05,3,0.0,-H4 O2,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H9 N1 O4,8.63e-05,3,1.047,-H1 O1 -N1,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H10 N2 O5,3.85e-05,3,1.008,O2,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H10 N2 O4,4.1e-05,3,1.093,O1,0
C10 H10 N2 O3,3.54e-05,2,1.113,C9 H8 N2 O4,2.78e-05,3,0.993,-C1 -H2 O1,0
C10 H10 N2 O3,3.54e-05,2,1.113,C10 H12 N2 O4,5.06e-05,3,1.105,H2 O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C8 H6 N2 O3,2.53e-05,3,0.0,-C2 -H4 -O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C9 H10 N2 O3,1.88e-05,3,0.0,-C1 -O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C10 H11 N1 O2,2.45e-05,3,0.0,H1 -O2 -N1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C9 H10 N2 O4,2.73e-05,3,0.886,-C1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C9 H8 N2 O4,2.78e-05,3,0.993,-C1 -H2,0
C10 H10 N2 O4,3.75e-05,2,1.093,C10 H8 N2 O3,3.36e-05,3,0.806,-H2 -O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C10 H9 N1 O5,0.000101393,3,1.014,-H1 O1 -N1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C10 H8 N2 O5,3.45e-05,3,1.162,-H2 O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C9 H8 N2 O5,2.33e-05,3,0.806,-C1 -H2 O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C10 H10 N2 O5,3.85e-05,3,1.008,O1,0
C10 H10 N2 O4,3.75e-05,2,1.093,C10 H12 N2 O5,4.29e-05,3,0.766,H2 O1,0
C10 H10 N2 O5,3.82e-05,2,1.008,C9 H10 N2 O3,1.88e-05,3,0.0,-C1 -O2,0
C10 H10 N2 O5,3.82e-05,2,1.008,C9 H10 N2 O5,2.72e-05,3,0.869,-C1,0
C10 H10 N2 O5,3.82e-05,2,1.008,C10 H11 N1 O3,5.23e-05,3,0.976,H1 -O2 -N1,0
C10 H10 N2 O5,3.82e-05,2,1.008,C10 H8 N2 O5,3.45e-05,3,1.162,-H2,0
C10 H10 N2 O5,3.82e-05,2,1.008,C9 H8 N2 O5,2.33e-05,3,0.806,-C1 -H2,0
C10 H10 N2 O5,3.82e-05,2,1.008,C9 H10 N2 O4,2.73e-05,3,0.886,-C1 -O1,0
C10 H10 N2 O5,3.82e-05,2,1.008,C10 H8 N2 O6,2.38e-05,3,0.793,-H2 O1,0
C10 H10 N2 O5,3.82e-05,2,1.008,C10 H9 N1 O6,8.03e-05,3,0.984,-H1 O1 -N1,0
C10 H10 O2,0.000100546,2,0.883,C9 H10 O2,7.54e-05,3,0.787,-C1,0
C10 H10 O2,0.000100546,2,0.883,C10 H8 O2,7.63e-05,3,0.988,-H2,0
C10 H10 O2,0.000100546,2,0.883,C10 H12 O3,0.00021504,3,0.92,H2 O1,0
C10 H10 O2,0.000100546,2,0.883,C10 H9 N1 O4,8.63e-05,3,1.047,-H1 O2 N1,1
C10 H10 O2,0.000100546,2,0.883,C10 H6 O4,0.000305614,3,0.985,-H4 O2,0
C10 H10 O2,0.000100546,2,0.883,C10 H10 O3,0.000241113,3,0.915,O1,0
C10 H10 O2,0.000100546,2,0.883,C10 H10 O4,0.00054932,3,1.021,O2,0
C10 H10 O2,0.000100546,2,0.883,C10 H8 O3,0.000239089,3,0.931,-H2 O1,0
C10 H10 O2,0.000100546,2,0.883,C9 H8 O3,0.000241186,3,0.898,-C1 -H2 O1,0
C10 H10 O3,0.000263534,2,0.915,C8 H8 O3,0.000217894,3,1.042,-C2 -H2,1
C10 H10 O3,0.000263534,2,0.915,C9 H10 O2,7.54e-05,3,0.787,-C1 -O1,0
C10 H10 O3,0.000263534,2,0.915,C10 H11 N1 O2,2.45e-05,3,0.0,H1 -O1 N1,0
C10 H10 O3,0.000263534,2,0.915,C9 H10 O3,0.000345024,3,0.901,-C1,0
C10 H10 O3,0.000263534,2,0.915,C10 H8 O2,7.63e-05,3,0.988,-H2 -O1,0
C10 H10 O3,0.000263534,2,0.915,C10 H8 O3,0.000239089,3,0.931,-H2,0
C10 H10 O3,0.000263534,2,0.915,C9 H8 O3,0.000241186,3,0.898,-C1 -H2,0
C10 H10 O3,0.000263534,2,0.915,C10 H8 O4,0.00045607,3,1.053,-H2 O1,1
C10 H10 O3,0.000263534,2,0.915,C10 H10 O5,0.000834802,3,1.15,O2,1
C10 H10 O3,0.000263534,2,0.915,C10 H6 O5,0.00057597,3,1.042,-H4 O2,1
C10 H10 O3,0.000263534,2,0.915,C10 H9 N1 O5,0.000101393,3,1.014,-H1 O2 N1,0
C10 H10 O3,0.000263534,2,0.915,C10 H12 O4,0.000506594,3,0.862,H2 O1,0
C10 H10 O3,0.000263534,2,0.915,C10 H10 O4,0.00054932,3,1.021,O1,0
C10 H10 O3,0.000263534,2,0.915,C9 H8 O4,0.000628965,3,0.966,-C1 -H2 O1,0
C10 H10 O4,0.00053819,2,1.021,C9 H10 O4,0.000313976,3,1.065,-C1,0
C10 H10 O4,0.00053819,2,1.021,C9 H10 O2,7.54e-05,3,0.787,-C1 -O2,0
C10 H10 O4,0.00053819,2,1.021,C10 H8 O4,0.00045607,3,1.053,-H2,0
C10 H10 O4,0.00053819,2,1.021,C8 H6 O3,6.42e-05,3,0.761,-C2 -H4 -O1,0
C10 H10 O4,0.00053819,2,1.021,C10 H11 N1 O3,5.23e-05,3,0.976,H1 -O1 N1,0
C10 H10 O4,0.00053819,2,1.021,C9 H10 O3,0.000345024,3,0.901,-C1 -O1,0
C10 H10 O4,0.00053819,2,1.021,C8 H8 O4,0.000525074,3,1.235,-C2 -H2,0
C10 H10 O4,0.00053819,2,1.021,C10 H8 O3,0.000239089,3,0.931,-H2 -O1,0
C10 H10 O4,0.00053819,2,1.021,C9 H8 O4,0.000628965,3,0.966,-C1 -H2,0
C10 H10 O4,0.00053819,2,1.021,C10 H12 O5,0.000636966,3,1.079,H2 O1,0
C10 H10 O4,0.00053819,2,1.021,C10 H9 N1 O6,8.03e-05,3,0.984,-H1 O2 N1,0
C10 H10 O4,0.00053819,2,1.021,C10 H10 O5,0.000834802,3,1.15,O1,0
C10 H10 O4,0.00053819,2,1.021,C10 H10 O6,0.000619664,3,1.141,O2,0
C10 H10 O4,0.00053819,2,1.021,C9 H8 O5,0.000964987,3,1.408,-C1 -H2 O1,0
C10 H10 O4,0.00053819,2,1.021,C10 H8 O5,0.000750758,3,1.042,-H2 O1,0
C10 H10 O4,0.00053819,2,1.021,C10 H6 O6,0.000665553,3,1.026,-H4 O2,0
C10 H10 O5,0.000725921,2,1.15,C9 H10 O4,0.000313976,3,1.065,-C1 -O1,0
C10 H10 O5,0.000725921,2,1.15,C10 H11 N1 O4,8.74e-05,3,1.033,H1 -O1 N1,0
C10 H10 O5,0.000725921,2,1.15,C10 H8 O4,0.00045607,3,1.053,-H2 -O1,0
C10 H10 O5,0.000725921,2,1.15,C8 H8 O5,0.000222914,3,0.987,-C2 -H2,0
C10 H10 O5,0.000725921,2,1.15,C9 H8 O5,0.000964987,3,1.408,-C1 -H2,0
C10 H10 O5,0.000725921,2,1.15,C10 H8 O5,0.000750758,3,1.042,-H2,0
C10 H10 O5,0.000725921,2,1.15,C8 H6 O4,0.000666387,3,0.883,-C2 -H4 -O1,0
C10 H10 O5,0.000725921,2,1.15,C9 H10 O3,0.000345024,3,0.901,-C1 -O2,0
C10 H10 O5,0.000725921,2,1.15,C9 H10 O5,0.000353497,3,0.998,-C1,0
C10 H10 O5,0.000725921,2,1.15,C10 H12 O6,0.000536303,3,1.146,H2 O1,0
C10 H10 O5,0.000725921,2,1.15,C10 H6 O7,0.000375373,3,1.039,-H4 O2,0
C10 H10 O5,0.000725921,2,1.15,C10 H10 O6,0.000619664,3,1.141,O1,0
