mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C14 H14 N2 O3,2.39e-05,8,0.0,C10 H10 N2 O2,2.03e-05,9,1.063,-C4 -H4 -O1,0
C11 H10 N2 O3,3.46e-05,8,1.243,C10 H10 N2 O2,2.03e-05,9,1.063,-C1 -O1,0
C11 H10 N2 O4,4.07e-05,8,1.133,C10 H10 N2 O2,2.03e-05,9,1.063,-C1 -O2,0
C10 H9 N1 O3,5.33e-05,8,1.077,C10 H10 N2 O2,2.03e-05,9,1.063,H1 -O1 N1,0
C12 H14 N2 O3,3.38e-05,8,0.935,C10 H10 N2 O2,2.03e-05,9,1.063,-C2 -H4 -O1,1
C10 H9 N1 O4,8.79e-05,8,0.99,C10 H10 N2 O3,3.5e-05,9,1.496,H1 -O1 N1,0
C10 H12 N2 O4,4.5e-05,8,1.082,C10 H10 N2 O3,3.5e-05,9,1.496,-H2 -O1,0
C12 H14 N2 O4,7.11e-05,8,0.862,C10 H10 N2 O3,3.5e-05,9,1.496,-C2 -H4 -O1,1
C11 H10 N2 O3,3.46e-05,8,1.243,C10 H10 N2 O3,3.5e-05,9,1.496,-C1,0
C11 H10 N2 O4,4.07e-05,8,1.133,C10 H10 N2 O3,3.5e-05,9,1.496,-C1 -O1,0
C12 H12 N2 O3,3.15e-05,8,0.937,C10 H10 N2 O3,3.5e-05,9,1.496,-C2 -H2,1
C11 H12 N2 O3,3.53e-05,8,0.932,C10 H10 N2 O3,3.5e-05,9,1.496,-C1 -H2,1
C11 H10 N2 O5,5.32e-05,8,0.85,C10 H10 N2 O3,3.5e-05,9,1.496,-C1 -O2,1
C14 H14 N2 O4,7.75e-05,8,0.757,C10 H10 N2 O3,3.5e-05,9,1.496,-C4 -H4 -O1,1
C10 H10 N2 O2,1.91e-05,8,1.063,C10 H10 N2 O3,3.5e-05,9,1.496,O1,0
C11 H10 N2 O6,4.41e-05,8,0.916,C10 H10 N2 O5,3.7e-05,9,0.934,-C1 -O1,0
C10 H9 N1 O6,9.3e-05,8,0.887,C10 H10 N2 O5,3.7e-05,9,0.934,H1 -O1 N1,0
C10 H12 N2 O6,2.64e-05,8,0.924,C10 H10 N2 O5,3.7e-05,9,0.934,-H2 -O1,0
C12 H14 N2 O6,9.5e-05,8,0.886,C10 H10 N2 O5,3.7e-05,9,0.934,-C2 -H4 -O1,0
C11 H12 N2 O5,7.13e-05,8,0.959,C10 H10 N2 O5,3.7e-05,9,0.934,-C1 -H2,0
C14 H14 N2 O6,0.000106435,8,1.015,C10 H10 N2 O5,3.7e-05,9,0.934,-C4 -H4 -O1,0
C11 H10 N2 O5,5.32e-05,8,0.85,C10 H10 N2 O5,3.7e-05,9,0.934,-C1,0
C12 H12 N2 O5,6.91e-05,8,0.932,C10 H10 N2 O5,3.7e-05,9,0.934,-C2 -H2,0
C10 H12 N2 O5,3.53e-05,8,1.207,C10 H10 N2 O5,3.7e-05,9,0.934,-H2,0
C10 H12 N2 O4,4.5e-05,8,1.082,C10 H10 N2 O5,3.7e-05,9,0.934,-H2 O1,0
C11 H12 N2 O4,5.59e-05,8,1.227,C10 H10 N2 O5,3.7e-05,9,0.934,-C1 -H2 O1,0
