mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C11 H10 N2 O2,2.22e-05,7,0.0,C10 H10 N2 O2,1.91e-05,8,0.0,-C1,0
C12 H14 N2 O3,3.37e-05,7,1.003,C10 H10 N2 O2,1.91e-05,8,0.0,-C2 -H4 -O1,0
C10 H9 N1 O3,5.61e-05,7,0.95,C10 H10 N2 O2,1.91e-05,8,0.0,H1 -O1 N1,0
C11 H10 N2 O4,6e-05,7,0.678,C10 H10 N2 O2,1.91e-05,8,0.0,-C1 -O2,0
C11 H10 N2 O3,3.03e-05,7,1.142,C10 H10 N2 O2,1.91e-05,8,0.0,-C1 -O1,0
C11 H12 N2 O3,2.62e-05,7,1.347,C10 H10 N2 O3,2.34e-05,8,0.67,-C1 -H2,0
C11 H10 N2 O5,5.55e-05,7,0.959,C10 H10 N2 O3,2.34e-05,8,0.67,-C1 -O2,0
C11 H10 N2 O3,3.03e-05,7,1.142,C10 H10 N2 O3,2.34e-05,8,0.67,-C1,0
C11 H10 N2 O4,6e-05,7,0.678,C10 H10 N2 O3,2.34e-05,8,0.67,-C1 -O1,0
C10 H9 N1 O4,9.56e-05,7,0.919,C10 H10 N2 O3,2.34e-05,8,0.67,H1 -O1 N1,0
C12 H14 N2 O4,7.5e-05,7,0.948,C10 H10 N2 O3,2.34e-05,8,0.67,-C2 -H4 -O1,0
C12 H12 N2 O3,3.39e-05,7,0.929,C10 H10 N2 O3,2.34e-05,8,0.67,-C2 -H2,0
C14 H14 N2 O4,8e-05,7,0.969,C10 H10 N2 O3,2.34e-05,8,0.67,-C4 -H4 -O1,0
C10 H12 N2 O4,4.78e-05,7,0.941,C10 H10 N2 O3,2.34e-05,8,0.67,-H2 -O1,0
C10 H8 N2 O2,3.12e-05,7,0.0,C10 H10 N2 O3,2.34e-05,8,0.67,H2 O1,0
C11 H12 N2 O4,5.83e-05,7,0.959,C10 H10 N2 O4,3.98e-05,8,0.861,-C1 -H2,0
C12 H14 N2 O5,8.81e-05,7,0.983,C10 H10 N2 O4,3.98e-05,8,0.861,-C2 -H4 -O1,0
C11 H10 N2 O6,4.89e-05,7,0.902,C10 H10 N2 O4,3.98e-05,8,0.861,-C1 -O2,0
C12 H12 N2 O4,6e-05,7,1.245,C10 H10 N2 O4,3.98e-05,8,0.861,-C2 -H2,0
C10 H12 N2 O4,4.78e-05,7,0.941,C10 H10 N2 O4,3.98e-05,8,0.861,-H2,0
C10 H12 N2 O5,4.64e-05,7,0.761,C10 H10 N2 O4,3.98e-05,8,0.861,-H2 -O1,0
C10 H9 N1 O5,0.000114996,7,0.992,C10 H10 N2 O4,3.98e-05,8,0.861,H1 -O1 N1,0
C11 H10 N2 O4,6e-05,7,0.678,C10 H10 N2 O4,3.98e-05,8,0.861,-C1,0
C14 H14 N2 O5,0.000106905,7,0.862,C10 H10 N2 O4,3.98e-05,8,0.861,-C4 -H4 -O1,0
C11 H10 N2 O5,5.55e-05,7,0.959,C10 H10 N2 O4,3.98e-05,8,0.861,-C1 -O1,0
C11 H12 N2 O3,2.62e-05,7,1.347,C10 H10 N2 O4,3.98e-05,8,0.861,-C1 -H2 O1,0
C10 H8 N2 O3,2.79e-05,7,1.057,C10 H10 N2 O4,3.98e-05,8,0.861,H2 O1,0
C10 H10 N2 O3,3.49e-05,7,0.67,C10 H10 N2 O4,3.98e-05,8,0.861,O1,0
C11 H12 N2 O5,5.83e-05,7,1.223,C10 H10 N2 O5,3.96e-05,8,1.094,-C1 -H2,0
C11 H10 N2 O5,5.55e-05,7,0.959,C10 H10 N2 O5,3.96e-05,8,1.094,-C1,1
C10 H12 N2 O5,4.64e-05,7,0.761,C10 H10 N2 O5,3.96e-05,8,1.094,-H2,1
C12 H12 N2 O5,5.79e-05,7,1.193,C10 H10 N2 O5,3.96e-05,8,1.094,-C2 -H2,0
C14 H14 N2 O6,0.00011766,7,0.905,C10 H10 N2 O5,3.96e-05,8,1.094,-C4 -H4 -O1,1
C10 H9 N1 O6,8.83e-05,7,1.053,C10 H10 N2 O5,3.96e-05,8,1.094,H1 -O1 N1,0
C12 H14 N2 O6,7.71e-05,7,1.232,C10 H10 N2 O5,3.96e-05,8,1.094,-C2 -H4 -O1,0
