mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C10 H10 N2 O2,1.92e-05,6,0.0,C10 H8 N2 O2,3.12e-05,7,1.584,-H2,0
C10 H10 N2 O2,1.92e-05,6,0.0,C9 H8 N2 O3,2.17e-05,7,0.0,-C1 -H2 O1,0
C10 H10 N2 O2,1.92e-05,6,0.0,C10 H10 N2 O3,3.49e-05,7,0.0,O1,0
C10 H10 N2 O2,1.92e-05,6,0.0,C10 H9 N1 O3,5.61e-05,7,0.982,-H1 O1 -N1,0
C10 H10 N2 O2,1.92e-05,6,0.0,C10 H10 N2 O4,4.62e-05,7,0.0,O2,0
C10 H10 N2 O2,1.92e-05,6,0.0,C10 H8 N2 O3,2.79e-05,7,1.143,-H2 O1,0
C10 H10 N2 O5,4.46e-05,6,0.812,C8 H8 N2 O5,2.8e-05,7,0.0,-C2 -H2,0
C10 H10 N2 O5,4.46e-05,6,0.812,C9 H10 N2 O3,2.67e-05,7,1.278,-C1 -O2,1
C10 H10 N2 O5,4.46e-05,6,0.812,C9 H10 N2 O5,2.91e-05,7,0.791,-C1,0
C10 H10 N2 O5,4.46e-05,6,0.812,C10 H8 N2 O5,3.17e-05,7,1.378,-H2,1
C10 H10 N2 O5,4.46e-05,6,0.812,C9 H8 N2 O5,2.63e-05,7,1.124,-C1 -H2,1
C10 H10 N2 O5,4.46e-05,6,0.812,C10 H8 N2 O4,3.42e-05,7,1.14,-H2 -O1,1
C10 H10 N2 O5,4.46e-05,6,0.812,C9 H8 N2 O6,2.96e-05,7,0.0,-C1 -H2 O1,0
C10 H10 N2 O5,4.46e-05,6,0.812,C10 H8 N2 O6,2.24e-05,7,0.0,-H2 O1,0
C10 H10 N2 O5,4.46e-05,6,0.812,C10 H9 N1 O6,8.83e-05,7,1.274,-H1 O1 -N1,1
C10 H10 N2 O6,3.33e-05,6,0.0,C9 H8 N2 O6,2.96e-05,7,0.0,-C1 -H2,0
C10 H10 N2 O6,3.33e-05,6,0.0,C10 H8 N2 O6,2.24e-05,7,0.0,-H2,0
C10 H10 N2 O6,3.33e-05,6,0.0,C9 H10 N2 O5,2.91e-05,7,0.791,-C1 -O1,0
C10 H10 N2 O6,3.33e-05,6,0.0,C10 H8 N2 O5,3.17e-05,7,1.378,-H2 -O1,0
C10 H10 N2 O6,3.33e-05,6,0.0,C10 H9 N1 O7,5.02e-05,7,1.201,-H1 O1 -N1,0
C10 H10 O2,8.7e-05,6,1.303,C9 H10 O2,8.04e-05,7,1.245,-C1,0
C10 H10 O2,8.7e-05,6,1.303,C10 H8 O2,7.38e-05,7,1.022,-H2,0
C10 H10 O2,8.7e-05,6,1.303,C10 H12 O3,0.000265074,7,1.272,H2 O1,0
C10 H10 O2,8.7e-05,6,1.303,C10 H6 O4,0.00032087,7,1.119,-H4 O2,0
C10 H10 O2,8.7e-05,6,1.303,C10 H10 O3,0.000262803,7,1.153,O1,0
C10 H10 O2,8.7e-05,6,1.303,C10 H10 O4,0.000623856,7,1.228,O2,0
C10 H10 O2,8.7e-05,6,1.303,C10 H8 O3,0.000278292,7,1.163,-H2 O1,0
C10 H10 O2,8.7e-05,6,1.303,C9 H8 O3,0.000262671,7,1.24,-C1 -H2 O1,0
C10 H10 O3,0.00022785,6,1.153,C8 H8 O3,0.000225997,7,1.179,-C2 -H2,0
C10 H10 O3,0.00022785,6,1.153,C9 H10 O2,8.04e-05,7,1.245,-C1 -O1,0
C10 H10 O3,0.00022785,6,1.153,C9 H10 O3,0.000349945,7,1.2,-C1,0
C10 H10 O3,0.00022785,6,1.153,C10 H8 O2,7.38e-05,7,1.022,-H2 -O1,0
C10 H10 O3,0.00022785,6,1.153,C10 H8 O3,0.000278292,7,1.163,-H2,0
C10 H10 O3,0.00022785,6,1.153,C9 H8 O3,0.000262671,7,1.24,-C1 -H2,0
C10 H10 O3,0.00022785,6,1.153,C10 H8 O4,0.000526022,7,1.246,-H2 O1,0
C10 H10 O3,0.00022785,6,1.153,C10 H10 O5,0.001108141,7,1.174,O2,0
C10 H10 O3,0.00022785,6,1.153,C10 H6 O5,0.000615216,7,1.221,-H4 O2,0
C10 H10 O3,0.00022785,6,1.153,C10 H12 O4,0.000567179,7,1.136,H2 O1,0
C10 H10 O3,0.00022785,6,1.153,C10 H10 O4,0.000623856,7,1.228,O1,0
C10 H10 O3,0.00022785,6,1.153,C9 H8 O4,0.000774753,7,1.228,-C1 -H2 O1,0
C10 H10 O4,0.000508156,6,1.228,C9 H10 O4,0.000343346,7,1.212,-C1,0
C10 H10 O4,0.000508156,6,1.228,C9 H10 O2,8.04e-05,7,1.245,-C1 -O2,0
