mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C20 H32 O6,0.000493304,3,1.018,C19 H30 O6,0.000645337,4,1.105,-C1 -H2,0
C23 H34 O7,0.000370409,3,1.065,C19 H30 O6,0.000645337,4,1.105,-C4 -H4 -O1,0
C21 H34 O7,0.000226586,3,1.227,C19 H30 O6,0.000645337,4,1.105,-C2 -H4 -O1,0
C20 H30 O8,0.000809762,3,1.065,C19 H30 O6,0.000645337,4,1.105,-C1 -O2,0
C20 H30 O7,0.001040862,3,1.02,C19 H30 O6,0.000645337,4,1.105,-C1 -O1,0
C19 H32 O6,0.000201342,3,1.223,C19 H30 O6,0.000645337,4,1.105,-H2,0
C21 H32 O6,0.000385418,3,1.087,C19 H30 O6,0.000645337,4,1.105,-C2 -H2,0
C19 H32 O7,0.000158085,3,1.191,C19 H30 O6,0.000645337,4,1.105,-H2 -O1,0
C19 H30 O6 S1,3.45e-05,3,0.0,C19 H30 O6,0.000645337,4,1.105,-S1,0
C20 H30 O6,0.00106575,3,0.983,C19 H30 O6,0.000645337,4,1.105,-C1,0
C19 H30 O4,0.000177429,3,1.062,C19 H30 O6,0.000645337,4,1.105,O2,0
C19 H32 O5,0.000164963,3,1.084,C19 H30 O6,0.000645337,4,1.105,-H2 O1,0
C19 H30 O5,0.00044905,3,0.98,C19 H30 O6,0.000645337,4,1.105,O1,0
C20 H32 O5,0.000415567,3,0.97,C19 H30 O6,0.000645337,4,1.105,-C1 -H2 O1,1
C19 H28 O5,0.000866967,3,0.974,C19 H30 O6,0.000645337,4,1.105,H2 O1,1
C25 H27 N1 O11,3.37e-05,3,1.092,C25 H28 N2 O10,2.7e-05,4,0.0,H1 -O1 N1,0
C25 H30 N2 O11,2.9e-05,3,0.0,C25 H28 N2 O10,2.7e-05,4,0.0,-H2 -O1,0
C17 H18 O4,0.000257476,3,1.007,C16 H18 O3,0.000157533,4,1.04,-C1 -O1,0
C16 H20 O3,0.000161855,3,1.026,C16 H18 O3,0.000157533,4,1.04,-H2,0
C18 H20 O3,8.62e-05,3,0.993,C16 H18 O3,0.000157533,4,1.04,-C2 -H2,0
C17 H18 O3,9.73e-05,3,1.044,C16 H18 O3,0.000157533,4,1.04,-C1,0
C17 H20 O3,0.000131193,3,1.024,C16 H18 O3,0.000157533,4,1.04,-C1 -H2,0
C20 H22 O4,0.00010002,3,0.889,C16 H18 O3,0.000157533,4,1.04,-C4 -H4 -O1,1
C17 H18 O5,0.000432914,3,1.029,C16 H18 O3,0.000157533,4,1.04,-C1 -O2,0
C18 H22 O4,0.0002974,3,0.986,C16 H18 O3,0.000157533,4,1.04,-C2 -H4 -O1,0
C16 H20 O4,0.000476042,3,0.982,C16 H18 O3,0.000157533,4,1.04,-H2 -O1,0
C16 H18 O2,3.88e-05,3,1.085,C16 H18 O3,0.000157533,4,1.04,O1,0
C16 H20 O2,5.71e-05,3,0.849,C16 H18 O3,0.000157533,4,1.04,-H2 O1,1
C16 H16 O2,4.46e-05,3,0.78,C16 H18 O3,0.000157533,4,1.04,H2 O1,1
C17 H20 O2,4.37e-05,3,1.252,C16 H18 O3,0.000157533,4,1.04,-C1 -H2 O1,0
C16 H18 O1,2.11e-05,3,0.0,C16 H18 O3,0.000157533,4,1.04,O2,0
C10 H13 N1 O3,3.38e-05,3,1.257,C9 H11 N1 O3,4.25e-05,4,0.977,-C1 -H2,0
C11 H15 N1 O4,6.47e-05,3,1.414,C9 H11 N1 O3,4.25e-05,4,0.977,-C2 -H4 -O1,0
C13 H15 N1 O4,9.01e-05,3,1.285,C9 H11 N1 O3,4.25e-05,4,0.977,-C4 -H4 -O1,0
C10 H11 N1 O4,8.74e-05,3,1.013,C9 H11 N1 O3,4.25e-05,4,0.977,-C1 -O1,0
C11 H13 N1 O3,5.13e-05,3,1.238,C9 H11 N1 O3,4.25e-05,4,0.977,-C2 -H2,0
C10 H11 N1 O3,5.23e-05,3,0.981,C9 H11 N1 O3,4.25e-05,4,0.977,-C1,0
C9 H10 O4,0.000313976,3,1.018,C9 H11 N1 O3,4.25e-05,4,0.977,H1 -O1 N1,0
C10 H11 N1 O5,9.44e-05,3,1.139,C9 H11 N1 O3,4.25e-05,4,0.977,-C1 -O2,0
C9 H13 N1 O4,5.36e-05,3,0.978,C9 H11 N1 O3,4.25e-05,4,0.977,-H2 -O1,0
C10 H13 N1 O2,2.64e-05,3,0.97,C9 H11 N1 O3,4.25e-05,4,0.977,-C1 -H2 O1,0
C9 H11 N1 O2,3.05e-05,3,1.154,C9 H11 N1 O3,4.25e-05,4,0.977,O1,0
C30 H34 O12,6.56e-05,3,0.983,C28 H32 O12,0.00013051,4,0.978,-C2 -H2,0
C32 H36 O13,4.71e-05,3,1.055,C28 H32 O12,0.00013051,4,0.978,-C4 -H4 -O1,0
C29 H32 O12,8.47e-05,3,1.111,C28 H32 O12,0.00013051,4,0.978,-C1,0
C29 H34 O12,0.000111869,3,0.988,C28 H32 O12,0.00013051,4,0.978,-C1 -H2,0
C29 H32 O13,8.66e-05,3,0.939,C28 H32 O12,0.00013051,4,0.978,-C1 -O1,0
C28 H34 O13,8.73e-05,3,1.166,C28 H32 O12,0.00013051,4,0.978,-H2 -O1,0
C28 H34 O12,0.00015768,3,0.924,C28 H32 O12,0.00013051,4,0.978,-H2,0
C30 H36 O13,7.77e-05,3,1.003,C28 H32 O12,0.00013051,4,0.978,-C2 -H4 -O1,0
C29 H32 O14,6.99e-05,3,1.134,C28 H32 O12,0.00013051,4,0.978,-C1 -O2,0
C28 H32 O10,0.000111201,3,0.929,C28 H32 O12,0.00013051,4,0.978,O2,0
C28 H32 O11,0.000131578,3,0.978,C28 H32 O12,0.00013051,4,0.978,O1,0
C28 H30 O11,0.000127411,3,0.857,C28 H32 O12,0.00013051,4,0.978,H2 O1,0
C28 H36 O10,0.000215334,3,0.935,C28 H32 O12,0.00013051,4,0.978,-H4 O2,0
C29 H34 O11,0.000112882,3,1.005,C28 H32 O12,0.00013051,4,0.978,-C1 -H2 O1,0
C28 H34 O11,0.000172932,3,0.9,C28 H32 O12,0.00013051,4,0.978,-H2 O1,0
C22 H24 O9,0.000478777,3,1.009,C21 H24 O9,0.000766396,4,0.911,-C1,0
C25 H28 O10,0.000232653,3,1.007,C21 H24 O9,0.000766396,4,0.911,-C4 -H4 -O1,0
C23 H28 O10,0.00059377,3,0.923,C21 H24 O9,0.000766396,4,0.911,-C2 -H4 -O1,0
C22 H26 O9,0.00073457,3,0.956,C21 H24 O9,0.000766396,4,0.911,-C1 -H2,0
C21 H26 O9,0.001082239,3,0.934,C21 H24 O9,0.000766396,4,0.911,-H2,0
C23 H26 O9,0.000432137,3,0.913,C21 H24 O9,0.000766396,4,0.911,-C2 -H2,0
C21 H26 O10,0.000778234,3,1.009,C21 H24 O9,0.000766396,4,0.911,-H2 -O1,0
