mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C12 H12 N2 O4,5.61e-05,0,1.159,C10 H10 N2 O4,5.5e-05,1,1.338,-C2 -H2,0
C11 H12 N2 O4,6.63e-05,0,1.038,C10 H10 N2 O4,5.5e-05,1,1.338,-C1 -H2,0
C10 H12 N2 O5,4.51e-05,0,1.033,C10 H10 N2 O4,5.5e-05,1,1.338,-H2 -O1,0
C11 H10 N2 O6,4.62e-05,0,0.818,C10 H10 N2 O4,5.5e-05,1,1.338,-C1 -O2,1
C11 H10 N2 O4,6.27e-05,0,0.73,C10 H10 N2 O4,5.5e-05,1,1.338,-C1,1
C12 H14 N2 O5,8.77e-05,0,0.916,C10 H10 N2 O4,5.5e-05,1,1.338,-C2 -H4 -O1,1
C11 H10 N2 O5,5.79e-05,0,0.877,C10 H10 N2 O4,5.5e-05,1,1.338,-C1 -O1,1
C10 H12 N2 O4,4.09e-05,0,0.0,C10 H10 N2 O4,5.5e-05,1,1.338,-H2,0
C10 H9 N1 O5,9.06e-05,0,1.066,C10 H10 N2 O4,5.5e-05,1,1.338,H1 -O1 N1,0
C14 H14 N2 O5,0.000113308,0,0.899,C10 H10 N2 O4,5.5e-05,1,1.338,-C4 -H4 -O1,1
C10 H8 N2 O3,2.95e-05,0,0.0,C10 H10 N2 O4,5.5e-05,1,1.338,H2 O1,0
C10 H12 N2 O3,2.79e-05,0,0.0,C10 H10 N2 O4,5.5e-05,1,1.338,-H2 O1,0
C11 H12 N2 O3,3.25e-05,0,1.372,C10 H10 N2 O4,5.5e-05,1,1.338,-C1 -H2 O1,0
C10 H12 N2 O5,4.51e-05,0,1.033,C10 H10 N2 O5,3.52e-05,1,1.103,-H2,0
C12 H14 N2 O6,9.66e-05,0,0.798,C10 H10 N2 O5,3.52e-05,1,1.103,-C2 -H4 -O1,1
C11 H10 N2 O5,5.79e-05,0,0.877,C10 H10 N2 O5,3.52e-05,1,1.103,-C1,1
C11 H12 N2 O5,6.35e-05,0,1.055,C10 H10 N2 O5,3.52e-05,1,1.103,-C1 -H2,0
C14 H14 N2 O6,0.000138084,0,1.001,C10 H10 N2 O5,3.52e-05,1,1.103,-C4 -H4 -O1,0
C11 H10 N2 O6,4.62e-05,0,0.818,C10 H10 N2 O5,3.52e-05,1,1.103,-C1 -O1,1
C10 H9 N1 O6,7.68e-05,0,0.94,C10 H10 N2 O5,3.52e-05,1,1.103,H1 -O1 N1,1
C12 H12 N2 O5,6.83e-05,0,1.381,C10 H10 N2 O5,3.52e-05,1,1.103,-C2 -H2,0
C10 H14 N2 O3,2.55e-05,0,0.0,C10 H10 N2 O5,3.52e-05,1,1.103,-H4 O2,0
C10 H10 N2 O4,4.11e-05,0,1.338,C10 H10 N2 O5,3.52e-05,1,1.103,O1,0
C11 H12 N2 O4,6.63e-05,0,1.038,C10 H10 N2 O5,3.52e-05,1,1.103,-C1 -H2 O1,0
C10 H12 N2 O4,4.09e-05,0,0.0,C10 H10 N2 O5,3.52e-05,1,1.103,-H2 O1,0
C10 H8 N2 O4,3.12e-05,0,1.09,C10 H10 N2 O5,3.52e-05,1,1.103,H2 O1,0
C12 H12 N2 O7,4.02e-05,0,1.294,C10 H10 N2 O7,2.69e-05,1,0.0,-C2 -H2,0
C14 H14 N2 O8,7.04e-05,0,1.168,C10 H10 N2 O7,2.69e-05,1,0.0,-C4 -H4 -O1,0
C10 H10 N2 O6,3.47e-05,0,0.0,C10 H10 N2 O7,2.69e-05,1,0.0,O1,0
C10 H14 N2 O5,5.11e-05,0,0.0,C10 H10 N2 O7,2.69e-05,1,0.0,-H4 O2,0
C11 H12 N2 O6,4.77e-05,0,0.0,C10 H10 N2 O7,2.69e-05,1,0.0,-C1 -H2 O1,0
C10 H10 N2 O5,3.19e-05,0,1.103,C10 H10 N2 O7,2.69e-05,1,0.0,O2,0
C11 H12 O2,9.73e-05,0,0.902,C10 H10 O2,8.37e-05,1,1.236,-C1 -H2,1
C11 H10 O4,0.000400815,0,1.046,C10 H10 O2,8.37e-05,1,1.236,-C1 -O2,0
C11 H10 O2,8.79e-05,0,1.032,C10 H10 O2,8.37e-05,1,1.236,-C1,0
C10 H12 O2,7.58e-05,0,1.099,C10 H10 O2,8.37e-05,1,1.236,-H2,0
C12 H12 O2,8.91e-05,0,0.991,C10 H10 O2,8.37e-05,1,1.236,-C2 -H2,0
C11 H10 O3,0.000259089,0,0.958,C10 H10 O2,8.37e-05,1,1.236,-C1 -O1,1
C12 H14 O3,0.000251386,0,0.996,C10 H10 O2,8.37e-05,1,1.236,-C2 -H4 -O1,0
C10 H12 O3,0.000229304,0,0.954,C10 H10 O2,8.37e-05,1,1.236,-H2 -O1,1
C14 H14 O3,0.000204552,0,0.906,C10 H10 O2,8.37e-05,1,1.236,-C4 -H4 -O1,1
C10 H12 O4,0.000390488,0,1.017,C10 H10 O3,0.000209832,1,1.015,-H2 -O1,0
C11 H12 O3,0.000208797,0,1.105,C10 H10 O3,0.000209832,1,1.015,-C1 -H2,0
C14 H14 O4,0.000378883,0,1.071,C10 H10 O3,0.000209832,1,1.015,-C4 -H4 -O1,0
C12 H14 O4,0.000474876,0,1.031,C10 H10 O3,0.000209832,1,1.015,-C2 -H4 -O1,0
C11 H10 O3,0.000259089,0,0.958,C10 H10 O3,0.000209832,1,1.015,-C1,0
C10 H12 O3,0.000229304,0,0.954,C10 H10 O3,0.000209832,1,1.015,-H2,0
C11 H10 O5,0.000716852,0,1.058,C10 H10 O3,0.000209832,1,1.015,-C1 -O2,0
C11 H10 O4,0.000400815,0,1.046,C10 H10 O3,0.000209832,1,1.015,-C1 -O1,0
C12 H12 O3,0.000234747,0,0.918,C10 H10 O3,0.000209832,1,1.015,-C2 -H2,0
C10 H14 O1,8.09e-05,0,0.666,C10 H10 O3,0.000209832,1,1.015,-H4 O2,0
C11 H12 O2,9.73e-05,0,0.902,C10 H10 O3,0.000209832,1,1.015,-C1 -H2 O1,0
C10 H10 O2,6.77e-05,0,1.236,C10 H10 O3,0.000209832,1,1.015,O1,0
C10 H11 N1 O2,2.62e-05,0,0.0,C10 H10 O3,0.000209832,1,1.015,-H1 O1 -N1,0
C10 H12 O2,7.58e-05,0,1.099,C10 H10 O3,0.000209832,1,1.015,-H2 O1,0
C10 H8 O2,7.16e-05,0,0.814,C10 H10 O3,0.000209832,1,1.015,H2 O1,0
