mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C12 H14 N2 O5,0.000104862,4,1.085,C10 H10 N2 O4,4.65e-05,5,1.059,-C2 -H4 -O1,0
C11 H12 N2 O4,7.21e-05,4,0.856,C10 H10 N2 O4,4.65e-05,5,1.059,-C1 -H2,1
C10 H12 N2 O5,5.7e-05,4,0.732,C10 H10 N2 O4,4.65e-05,5,1.059,-H2 -O1,1
C10 H9 N1 O5,0.000126273,4,0.923,C10 H10 N2 O4,4.65e-05,5,1.059,H1 -O1 N1,1
C11 H10 N2 O6,3.5e-05,4,1.403,C10 H10 N2 O4,4.65e-05,5,1.059,-C1 -O2,0
C11 H10 N2 O5,5.22e-05,4,0.895,C10 H10 N2 O4,4.65e-05,5,1.059,-C1 -O1,1
C12 H12 N2 O4,5.45e-05,4,1.163,C10 H10 N2 O4,4.65e-05,5,1.059,-C2 -H2,0
C14 H14 N2 O5,0.000113134,4,0.854,C10 H10 N2 O4,4.65e-05,5,1.059,-C4 -H4 -O1,1
C10 H12 N2 O3,2.87e-05,4,0.784,C10 H10 N2 O4,4.65e-05,5,1.059,-H2 O1,1
C11 H12 N2 O3,3.58e-05,4,1.154,C10 H10 N2 O4,4.65e-05,5,1.059,-C1 -H2 O1,0
C10 H10 N2 O3,3.42e-05,4,0.0,C10 H10 N2 O4,4.65e-05,5,1.059,O1,0
C10 H8 N2 O3,2.46e-05,4,1.102,C10 H10 N2 O4,4.65e-05,5,1.059,H2 O1,0
C10 H12 N2 O6,2.33e-05,4,0.0,C10 H10 N2 O5,3.81e-05,5,0.932,-H2 -O1,0
C11 H12 N2 O5,6.52e-05,4,1.156,C10 H10 N2 O5,3.81e-05,5,0.932,-C1 -H2,0
C14 H14 N2 O6,9.29e-05,4,1.329,C10 H10 N2 O5,3.81e-05,5,0.932,-C4 -H4 -O1,0
C10 H12 N2 O5,5.7e-05,4,0.732,C10 H10 N2 O5,3.81e-05,5,0.932,-H2,0
C11 H10 N2 O6,3.5e-05,4,1.403,C10 H10 N2 O5,3.81e-05,5,0.932,-C1 -O1,0
C12 H12 N2 O5,6.89e-05,4,1.068,C10 H10 N2 O5,3.81e-05,5,0.932,-C2 -H2,0
C10 H9 N1 O6,8.1e-05,4,1.107,C10 H10 N2 O5,3.81e-05,5,0.932,H1 -O1 N1,0
C11 H10 N2 O5,5.22e-05,4,0.895,C10 H10 N2 O5,3.81e-05,5,0.932,-C1,0
C12 H14 N2 O6,8.38e-05,4,0.87,C10 H10 N2 O5,3.81e-05,5,0.932,-C2 -H4 -O1,0
C10 H8 N2 O4,4.06e-05,4,0.0,C10 H10 N2 O5,3.81e-05,5,0.932,H2 O1,0
C10 H10 N2 O4,4.39e-05,4,1.059,C10 H10 N2 O5,3.81e-05,5,0.932,O1,0
C11 H12 N2 O4,7.21e-05,4,0.856,C10 H10 N2 O5,3.81e-05,5,0.932,-C1 -H2 O1,0
C10 H10 N2 O3,3.42e-05,4,0.0,C10 H10 N2 O5,3.81e-05,5,0.932,O2,0
C11 H10 O3,0.000296349,4,1.054,C10 H10 O2,0.000104405,5,1.139,-C1 -O1,0
C10 H10 O5 S1,2.92e-05,4,0.791,C10 H10 O2,0.000104405,5,1.139,-O3 -S1,1
C14 H14 O3,0.000199637,4,1.034,C10 H10 O2,0.000104405,5,1.139,-C4 -H4 -O1,0
C12 H14 O3,0.000299056,4,0.96,C10 H10 O2,0.000104405,5,1.139,-C2 -H4 -O1,1
C11 H10 O2,8.26e-05,4,1.107,C10 H10 O2,0.000104405,5,1.139,-C1,0
C11 H12 O2,0.000106617,4,1.001,C10 H10 O2,0.000104405,5,1.139,-C1 -H2,0
C10 H12 O3,0.000266119,4,0.975,C10 H10 O2,0.000104405,5,1.139,-H2 -O1,0
C10 H12 O2,0.000113416,4,1.048,C10 H10 O2,0.000104405,5,1.139,-H2,0
C11 H10 O4,0.000598013,4,0.963,C10 H10 O2,0.000104405,5,1.139,-C1 -O2,1
C12 H12 O2,8.51e-05,4,1.101,C10 H10 O2,0.000104405,5,1.139,-C2 -H2,0
C11 H10 O5,0.001130939,4,0.977,C10 H10 O3,0.000272824,5,1.013,-C1 -O2,0
C12 H14 O4,0.000698298,4,0.926,C10 H10 O3,0.000272824,5,1.013,-C2 -H4 -O1,0
C10 H10 O6 S1,3.16e-05,4,1.12,C10 H10 O3,0.000272824,5,1.013,-O3 -S1,0
C12 H12 O3,0.000259971,4,1.067,C10 H10 O3,0.000272824,5,1.013,-C2 -H2,0
C14 H14 O4,0.000432838,4,0.976,C10 H10 O3,0.000272824,5,1.013,-C4 -H4 -O1,0
C10 H12 O3,0.000266119,4,0.975,C10 H10 O3,0.000272824,5,1.013,-H2,0
C11 H12 O3,0.000265161,4,0.987,C10 H10 O3,0.000272824,5,1.013,-C1 -H2,0
C11 H10 O4,0.000598013,4,0.963,C10 H10 O3,0.000272824,5,1.013,-C1 -O1,0
C11 H10 O3,0.000296349,4,1.054,C10 H10 O3,0.000272824,5,1.013,-C1,0
C10 H12 O4,0.000637183,4,0.839,C10 H10 O3,0.000272824,5,1.013,-H2 -O1,0
C10 H8 O2,8.33e-05,4,1.086,C10 H10 O3,0.000272824,5,1.013,H2 O1,0
C10 H14 O1,6.13e-05,4,1.095,C10 H10 O3,0.000272824,5,1.013,-H4 O2,0
C11 H12 O2,0.000106617,4,1.001,C10 H10 O3,0.000272824,5,1.013,-C1 -H2 O1,0
C10 H12 O2,0.000113416,4,1.048,C10 H10 O3,0.000272824,5,1.013,-H2 O1,0
C10 H10 O2,9.17e-05,4,1.139,C10 H10 O3,0.000272824,5,1.013,O1,0
C10 H11 N1 O2,2.35e-05,4,1.23,C10 H10 O3,0.000272824,5,1.013,-H1 O1 -N1,0
C11 H10 O5,0.001130939,4,0.977,C10 H10 O4,0.000590179,5,0.931,-C1 -O1,0
C10 H10 O5 S1,2.92e-05,4,0.791,C10 H10 O4,0.000590179,5,0.931,-O1 -S1,0
C11 H10 O6,0.001267301,4,1.016,C10 H10 O4,0.000590179,5,0.931,-C1 -O2,0
C14 H14 O5,0.000798862,4,1.011,C10 H10 O4,0.000590179,5,0.931,-C4 -H4 -O1,0
C11 H12 O4,0.00057655,4,0.998,C10 H10 O4,0.000590179,5,0.931,-C1 -H2,0
C10 H12 O4,0.000637183,4,0.839,C10 H10 O4,0.000590179,5,0.931,-H2,0
C11 H10 O4,0.000598013,4,0.963,C10 H10 O4,0.000590179,5,0.931,-C1,0
C12 H14 O5,0.001175545,4,0.968,C10 H10 O4,0.000590179,5,0.931,-C2 -H4 -O1,0
C12 H12 O4,0.000610748,4,1.038,C10 H10 O4,0.000590179,5,0.931,-C2 -H2,0
C10 H12 O5,0.000802762,4,0.929,C10 H10 O4,0.000590179,5,0.931,-H2 -O1,0
C10 H10 O7 S1,3.74e-05,4,0.898,C10 H10 O4,0.000590179,5,0.931,-O3 -S1,0
C10 H11 N1 O3,5.13e-05,4,0.723,C10 H10 O4,0.000590179,5,0.931,-H1 O1 -N1,0
C10 H14 O2,0.000109831,4,1.055,C10 H10 O4,0.000590179,5,0.931,-H4 O2,0
