mol_from,mol_from_int,mol_from_time,mol_from_int_trend,mol_to,mol_to_int,mol_to_time,mol_to_int_trend,transformation_unit,is_hti
C10 H10 N2 O4,4.65e-05,5,0.0,C9 H10 N2 O3,2.09e-05,6,0.929,-C1 -O1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C9 H10 N2 O4,2.62e-05,6,0.0,-C1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H8 N2 O4,3e-05,6,0.0,-H2,0
C10 H10 N2 O4,4.65e-05,5,0.0,C9 H8 N2 O4,2.34e-05,6,1.083,-C1 -H2,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H8 N2 O3,2.44e-05,6,0.9,-H2 -O1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H9 N1 O5,0.000110684,6,0.95,-H1 O1 -N1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H8 N2 O5,2.3e-05,6,0.599,-H2 O1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C9 H8 N2 O5,2.34e-05,6,1.045,-C1 -H2 O1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H10 N2 O5,4.46e-05,6,1.171,O1,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H10 N2 O6,3.33e-05,6,0.0,O2,0
C10 H10 N2 O4,4.65e-05,5,0.0,C10 H12 N2 O5,5.16e-05,6,1.237,H2 O1,0
C10 H10 N2 O5,3.81e-05,5,1.171,C9 H10 N2 O3,2.09e-05,6,0.929,-C1 -O2,0
C10 H10 N2 O5,3.81e-05,5,1.171,C9 H10 N2 O5,3.68e-05,6,1.607,-C1,0
C10 H10 N2 O5,3.81e-05,5,1.171,C9 H8 N2 O5,2.34e-05,6,1.045,-C1 -H2,0
C10 H10 N2 O5,3.81e-05,5,1.171,C10 H8 N2 O5,2.3e-05,6,0.599,-H2,0
C10 H10 N2 O5,3.81e-05,5,1.171,C9 H10 N2 O4,2.62e-05,6,0.0,-C1 -O1,0
C10 H10 N2 O5,3.81e-05,5,1.171,C10 H8 N2 O4,3e-05,6,0.0,-H2 -O1,0
C10 H10 N2 O5,3.81e-05,5,1.171,C10 H12 N2 O6,3.22e-05,6,0.0,H2 O1,0
C10 H10 N2 O5,3.81e-05,5,1.171,C10 H9 N1 O6,6.93e-05,6,0.773,-H1 O1 -N1,0
C10 H10 N2 O5,3.81e-05,5,1.171,C10 H10 N2 O6,3.33e-05,6,0.0,O1,0
C10 H10 O2,0.000104405,5,0.833,C9 H10 O2,6.46e-05,6,0.819,-C1,0
C10 H10 O2,0.000104405,5,0.833,C10 H8 O2,7.22e-05,6,0.798,-H2,0
C10 H10 O2,0.000104405,5,0.833,C10 H12 O3,0.000208352,6,0.803,H2 O1,0
C10 H10 O2,0.000104405,5,0.833,C10 H6 O4,0.000286706,6,0.839,-H4 O2,0
C10 H10 O2,0.000104405,5,0.833,C10 H10 O3,0.00022785,6,0.835,O1,0
C10 H10 O2,0.000104405,5,0.833,C10 H10 O4,0.000508156,6,0.861,O2,0
C10 H10 O2,0.000104405,5,0.833,C10 H8 O3,0.000239344,6,0.863,-H2 O1,0
C10 H10 O2,0.000104405,5,0.833,C9 H8 O3,0.000211839,6,0.883,-C1 -H2 O1,0
C10 H10 O3,0.000272824,5,0.835,C8 H8 O3,0.000191713,6,0.839,-C2 -H2,0
C10 H10 O3,0.000272824,5,0.835,C9 H10 O2,6.46e-05,6,0.819,-C1 -O1,0
C10 H10 O3,0.000272824,5,0.835,C10 H11 N1 O2,1.76e-05,6,0.609,H1 -O1 N1,0
C10 H10 O3,0.000272824,5,0.835,C9 H10 O3,0.00029172,6,0.785,-C1,0
C10 H10 O3,0.000272824,5,0.835,C10 H8 O2,7.22e-05,6,0.798,-H2 -O1,0
C10 H10 O3,0.000272824,5,0.835,C10 H8 O3,0.000239344,6,0.863,-H2,0
C10 H10 O3,0.000272824,5,0.835,C9 H8 O3,0.000211839,6,0.883,-C1 -H2,0
C10 H10 O3,0.000272824,5,0.835,C10 H8 O4,0.000422199,6,0.804,-H2 O1,0
C10 H10 O3,0.000272824,5,0.835,C10 H10 O5,0.000944201,6,0.914,O2,0
C10 H10 O3,0.000272824,5,0.835,C10 H6 O5,0.00050394,6,0.805,-H4 O2,0
C10 H10 O3,0.000272824,5,0.835,C10 H12 O4,0.000499457,6,0.934,H2 O1,0
C10 H10 O3,0.000272824,5,0.835,C10 H10 O4,0.000508156,6,0.861,O1,0
C10 H10 O3,0.000272824,5,0.835,C9 H8 O4,0.000630756,6,0.859,-C1 -H2 O1,0
C10 H10 O4,0.000590179,5,0.861,C9 H10 O4,0.00028337,6,0.853,-C1,0
C10 H10 O4,0.000590179,5,0.861,C9 H10 O2,6.46e-05,6,0.819,-C1 -O2,0
C10 H10 O4,0.000590179,5,0.861,C10 H8 O4,0.000422199,6,0.804,-H2,0
C10 H10 O4,0.000590179,5,0.861,C8 H6 O3,6.34e-05,6,0.89,-C2 -H4 -O1,0
C10 H10 O4,0.000590179,5,0.861,C10 H11 N1 O3,5.39e-05,6,1.453,H1 -O1 N1,1
C10 H10 O4,0.000590179,5,0.861,C9 H10 O3,0.00029172,6,0.785,-C1 -O1,0
C10 H10 O4,0.000590179,5,0.861,C8 H8 O4,0.000523285,6,0.878,-C2 -H2,0
C10 H10 O4,0.000590179,5,0.861,C10 H8 O3,0.000239344,6,0.863,-H2 -O1,0
C10 H10 O4,0.000590179,5,0.861,C9 H8 O4,0.000630756,6,0.859,-C1 -H2,0
C10 H10 O4,0.000590179,5,0.861,C10 H12 O5,0.000637394,6,0.855,H2 O1,0
C10 H10 O4,0.000590179,5,0.861,C10 H10 O5,0.000944201,6,0.914,O1,0
C10 H10 O4,0.000590179,5,0.861,C10 H10 O6,0.000625183,6,0.876,O2,0
C10 H10 O4,0.000590179,5,0.861,C9 H8 O5,0.0010091,6,0.899,-C1 -H2 O1,0
C10 H10 O4,0.000590179,5,0.861,C10 H8 O5,0.000791357,6,0.953,-H2 O1,0
C10 H10 O4,0.000590179,5,0.861,C10 H6 O6,0.000604057,6,0.835,-H4 O2,0
C10 H10 O5,0.001032796,5,0.914,C9 H10 O4,0.00028337,6,0.853,-C1 -O1,0
C10 H10 O5,0.001032796,5,0.914,C10 H11 N1 O4,7.57e-05,6,0.817,H1 -O1 N1,0
C10 H10 O5,0.001032796,5,0.914,C10 H8 O4,0.000422199,6,0.804,-H2 -O1,0
C10 H10 O5,0.001032796,5,0.914,C8 H8 O5,0.000213926,6,0.909,-C2 -H2,0
C10 H10 O5,0.001032796,5,0.914,C9 H8 O5,0.0010091,6,0.899,-C1 -H2,0
C10 H10 O5,0.001032796,5,0.914,C10 H8 O5,0.000791357,6,0.953,-H2,0
C10 H10 O5,0.001032796,5,0.914,C8 H6 O4,0.000536451,6,0.782,-C2 -H4 -O1,0
C10 H10 O5,0.001032796,5,0.914,C9 H10 O3,0.00029172,6,0.785,-C1 -O2,0
C10 H10 O5,0.001032796,5,0.914,C9 H10 O5,0.000368021,6,0.886,-C1,0
C10 H10 O5,0.001032796,5,0.914,C10 H12 O6,0.000533731,6,0.838,H2 O1,0
C10 H10 O5,0.001032796,5,0.914,C10 H6 O7,0.000321226,6,0.79,-H4 O2,0
C10 H10 O5,0.001032796,5,0.914,C10 H10 O6,0.000625183,6,0.876,O1,0
C10 H10 O5,0.001032796,5,0.914,C10 H8 O6,0.000992,6,0.928,-H2 O1,0
C10 H10 O5,0.001032796,5,0.914,C10 H10 O7,0.000351932,6,0.923,O2,0
C10 H10 O5,0.001032796,5,0.914,C9 H8 O6,0.000795566,6,0.858,-C1 -H2 O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C9 H10 O4 S1,1.95e-05,6,0.0,-C1 -O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H8 O4 S1,2.22e-05,6,0.0,-H2 -O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C9 H8 O5 S1,1.88e-05,6,0.883,-C1 -H2,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H10 O2,8.7e-05,6,0.833,-O3 -S1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H10 O5,0.000944201,6,0.914,-S1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H8 O5 S1,1.87e-05,6,0.703,-H2,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H10 O4,0.000508156,6,0.861,-O1 -S1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H6 O7 S1,2.44e-05,6,0.0,-H4 O2,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H10 O6 S1,3.65e-05,6,1.031,O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H8 O6 S1,3.2e-05,6,1.27,-H2 O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C9 H8 O6 S1,2.67e-05,6,1.23,-C1 -H2 O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H12 O6 S1,4.18e-05,6,1.002,H2 O1,0
C10 H10 O5 S1,2.31e-05,5,0.0,C10 H10 O7 S1,3.14e-05,6,0.935,O2,0
C10 H10 O6,0.000714082,5,0.876,C9 H10 O4,0.00028337,6,0.853,-C1 -O2,0
C10 H10 O6,0.000714082,5,0.876,C9 H10 O6,0.000260368,6,0.844,-C1,0
C10 H10 O6,0.000714082,5,0.876,C8 H8 O6,0.000107345,6,0.886,-C2 -H2,0
C10 H10 O6,0.000714082,5,0.876,C10 H8 O6,0.000992,6,0.928,-H2,0
C10 H10 O6,0.000714082,5,0.876,C10 H8 O5,0.000791357,6,0.953,-H2 -O1,0
C10 H10 O6,0.000714082,5,0.876,C8 H6 O5,0.000612463,6,0.87,-C2 -H4 -O1,0
C10 H10 O6,0.000714082,5,0.876,C9 H10 O5,0.000368021,6,0.886,-C1 -O1,0
C10 H10 O6,0.000714082,5,0.876,C10 H11 N1 O5,8.4e-05,6,0.761,H1 -O1 N1,0
C10 H10 O6,0.000714082,5,0.876,C9 H8 O6,0.000795566,6,0.858,-C1 -H2,0
C10 H10 O6,0.000714082,5,0.876,C6 H6 O5,4.83e-05,6,0.875,-C4 -H4 -O1,0
C10 H10 O6,0.000714082,5,0.876,C10 H12 O7,0.000476135,6,1.005,H2 O1,0
C10 H10 O6,0.000714082,5,0.876,C10 H8 O7,0.000710402,6,0.962,-H2 O1,0
C10 H10 O6,0.000714082,5,0.876,C10 H10 O8,0.000146303,6,0.969,O2,0
